Company Name,Current Email,Current Phone,Contract Value
OBI SEAFOODS  LLC,,,70922101.33999999
PERSPECTA ENGINEERING INC.,,,70634768.22
GAP SOLUTIONS  INC.,,,70243432.56
ENCORE DREDGING FOUNDING PARTNERS  LLC,,,70179940.38
CAVINESS BEEF PACKERS  LTD.,,,69928674.4
NAVY FEDERAL CREDIT UNION,,,69778678.0
BOLLINGER MISSISSIPPI SHIPBUILDING  LLC,,,69607000.0
INUTEQ  LLC,,,69141791.25999999
TUTOR PERINI CORPORATION,,,68778820.6
SAAB AB,,,68767508.07
BAE SYSTEMS SPACE & MISSION SYSTEMS INC.,,,68483297.0
READYONE INDUSTRIES INC,,,68434097.69999999
TRANSPORTATION RESEARCH CENTER INC,,,68374481.32000001
STRONGHOLD ENGINEERING INC,,,68227128.0
KOKOSING CONSTRUCTION COMPANY  INC.,,,67169239.42
HIG CAPITAL MANAGEMENT  INC.,,,67027514.14
MSA SAFETY INCORPORATED,,,66887670.67
GEORGIA VOCATIONAL REHABILITATION AGENCY,,,66768206.02
NAPHCARE INC,,,66387073.89
3M COMPANY,,,66348699.72
PINE BLUFF SAND AND GRAVEL COMPANY,,,65522010.019999996
CAREFUSION SOLUTIONS  LLC,,,65289254.56
NV5 GEOSPATIAL  INC.,,,64984433.760000005
MARINETTE MARINE CORPORATION,,,64621710.0
TECOLOTE RESEARCH  INC.,,,64586220.67
GBA BUILDERS LLC,,,64473735.0
PATRICIO ENTERPRISES  INC,,,64434438.21
PROFESSIONAL ANALYSIS  INCORPORATED,,,64282107.04
SUNTIVA  LLC,,,63943799.73
DELL FEDERAL SYSTEMS L.P.,,,63737233.74000001
ROGERS  LOVELOCK & FRITZ  INC.,,,62814269.45
SOUTH CAROLINA COMMISSION FOR BLIND,,,62451566.410000004
TURNER CONSTRUCTION COMPANY,,,61862623.0
SOUTHWEST RESEARCH INSTITUTE INC,,,61825177.0
IDAHO ENVIRONMENTAL COALITION LLC,,,61470154.0
LOC PERFORMANCE PRODUCTS  LLC,,,61360878.82
OCEANEERING INTERNATIONAL INC,,,61337135.239999995
NATIONAL GOVERNMENT SERVICES  INC.,,,61253674.67
MCKINSEY & COMPANY  INC.,,,61081094.970000006
LS TECHNOLOGIES  LLC,,,60880094.699999996
HEWLETT-PACKARD COMPANY,,,60805449.370000005
REI SYSTEMS  INC.,,,60792371.330000006
CGS ADMINISTRATORS  LLC,,,60706384.19
CRITERION SYSTEMS  L.L.C.,,,60315830.48
ARCHER WESTERN FEDERAL JV,,,60097711.11
FEDERAL CONTRACTING INC,,,60058318.89
HRL LABORATORIES  LLC,,,60047457.0
OAK RIDGE ASSOCIATED UNIVERSITIES  INCORPORATED,,,60009868.82
VICINITY ENERGY INC.,,,59880241.480000004
UNIVERSITY OF MASSACHUSETTS,,,59878921.760000005
PTSI MANAGED SERVICES INC,,,59812125.230000004
JANUS RESEARCH GROUP  LLC,,,59712598.15
BECHTEL NATIONAL  INC.,,,59320577.0
TELEDYNE FLIR SURVEILLANCE  INC.,,,59318845.99
SOLUTE,,,59314020.0
TRANSYLVANIA VOCATIONAL SERVICES  INC.,,,58914874.050000004
FAIRBANKS MORSE  LLC,,,58788404.989999995
ONE GAS  INC.,,,58676386.4
WEBCOR CONSTRUCTION LP,,,58633471.5
ENERSYS ENERGY PRODUCTS INC.,,,58518304.030000016
THE PROVIDENCIA GROUP LLC,,,58517120.08
INTEGRATION INNOVATION  INC.,,,58169468.69
DELPHINUS ENGINEERING  INC.,,,57991669.96000001
US OCEAN LLC,,,57983550.099999994
TYTO GOVERNMENT SOLUTIONS INC,,,57787229.19
INFORMATION SYSTEMS AND NETWORKS CORPORATION,,,57705261.480000004
KBR  INC.,,,57632799.63
UNITED PARCEL SERVICE  INC.,,,57528294.56
BAE SYSTEMS ORDNANCE SYSTEMS INC.,,,57272267.14
SWINERTON BUILDERS,,,57260000.0
ALVOGEN GROUP  INC.,,,57099989.22
KNIGHT CONST. & SUPPLY  INC,,,56839500.0
GN STORE NORD A/S,,,56832672.17
CHARLES STARK DRAPER LABORATORY  INC.  THE,,,56725388.879999995
LOUIS BERGER HAWTHORNE SERVICES  INC.,,,56676466.12
U.S. MARINE MANAGEMENT  LLC,,,55936030.94
OPTUMHEALTH CARE SOLUTIONS  LLC,,,55851461.25
BLINDERMANPOWER LLC,,,55759100.0
MOFFATT & NICHOL - BURNS & MCDONNELL HAWAII,,,55380559.0
L.S. BLACK CONSTRUCTORS  LLC,,,55308068.0
INTELLIDYNE  L.L.C.,,,54828355.0
ENVIRONMENTAL SYSTEMS RESEARCH INSTITUTE  INC.,,,54660364.95000001
MATHEMATICA  INC.,,,54575494.99
DRS ADVANCED ISR LLC,,,54512597.95
WATTERSON CONSTRUCTION COMPANY,,,54423799.0
TWO SIX LABS HOLDINGS  INC.,,,54397017.07
PROFESSIONAL CONTRACT SERVICES  INC.,,,54391045.76
INTELSAT GENERAL COMMUNICATIONS LLC,,,54307677.28
OLD NORTH UTILITY SERVICES  INC.,,,54017200.0
CENTRAL VALLEY MEAT CO.  INC.,,,53997619.2
SYSTEM HIGH CORPORATION,,,53933679.72
METRO MACHINE CORP.,,,53793455.97
COGNOSANTE HOLDINGS  LLC,,,53782779.5
AEROJET ROCKETDYNE  INC.,,,53701736.41
VIRGINIA AEM CORPORATION,,,53451920.97
NAMMO AS,,,53445498.86000001
PRECISION FOR MEDICINE  INC.,,,53343608.0
LABORATORY CORPORATION OF AMERICA,,,53073701.410000004
CDW GOVERNMENT LLC,,,52698095.67
OLYMPUS AMERICA INC,,,52447188.440000005
GENERAL DYNAMICS ONE SOURCE LLC,,,52026562.46999999
COLSA CORPORATION,,,51938286.87
COOPER MACHINERY SERVICES LLC,,,51389625.0
CHEROKEE NATION,,,51242480.92
OST INC,,,51054134.53000001
TELEPERFORMANCE SE,,,50986155.29000001
W. M. JORDAN COMPANY  INCORPORATED,,,50859075.339999996
STRATEGIC RESOURCES  INCORPORATED,,,50827195.67
NOVITAS SOLUTIONS  INC.,,,50329781.580000006
OWL COMPANIES,,,50269265.24
NTT DATA FEDERAL SERVICES  INC.,,,50053780.31
GLOBAL CONNECTIONS TO EMPLOYMENT  INC.,,,49876255.50000001
TECHNICA LLC,,,49825067.160000004
ADVANCED TECHNOLOGY INTERNATIONAL,,,49806244.0
WORKFORCE COMMISSION  TEXAS,,,49798650.06
WERRES CORPORATION,,,49591411.97
AGILITI HEALTH INC,,,49306276.720000006
WSP USA ENVIRONMENT & INFRASTRUCTURE INC.,,,49294880.82
ECC CONSTRUCTORS LLC,,,49284406.03
HUMAN RESOURCES RESEARCH ORGANIZATION (HUMRRO),,,49131060.61000001
REPUBLIC SERVICES  INC.,,,49055373.0
GLOBAL ENGINEERING SERVICES N.V.,,,49047719.269999996
TRX SYSTEMS  INC.,,,48948286.86
APPLIED RESEARCH SOLUTIONS  INC.,,,48750000.0
ATEC  INC.,,,48330468.33
ADVANCED BIOSCIENCE LABORATORIES  INC.,,,48290445.0
INTERNATIONAL BUSINESS MACHINES CORP,,,48193724.0
TAYLOR DEFENSE PRODUCTS  LLC,,,48159717.809999995
MEB GENERAL CONTRACTORS INC,,,47912874.0
RESOLUTION CONSULTANTS - AN AECOM-ENSAFE JOINT VENTURE,,,47773875.879999995
HUMANA GOVERNMENT BUSINESS INC,,,47723496.06
SMITHS DETECTION INC.,,,47656468.32
"AEP ENERGY, INC.",,,47161732.52
WORLDWIDE LANGUAGE RESOURCES  LLC,,,46916314.79
CANON MEDICAL SYSTEMS USA  INC.,,,46760536.85
FORD MOTOR COMPANY,,,46751362.0
LAKESIDE FOODS  INC.,,,46660873.77
PILGRIM'S PRIDE CORPORATION,,,46505221.2
SALIENT FEDERAL-SGIS INC,,,46496752.5
GARTNER  INC.,,,46311382.9
CHOCTAWHATCHEE ELECTRIC COOPERATIVE  INC.,,,45966839.0
TECHTRANS INTERNATIONAL  INC.,,,45951748.0
ROSS GROUP CONSTRUCTION CORPORATION  LLC,,,45715066.0
AXLE INFORMATICS  LLC,,,45656306.44
PERATON LABS INC,,,45594465.24
INTERNATIONAL MARINE AND INDUSTRIAL APPLICATORS  LLC,,,45538824.00999999
SUMMIT CONSULTING LLC,,,45367200.06
GEORGIA TECH APPLIED RESEARCH CORP,,,45302374.879999995
DZYNE TECHNOLOGIES INCORPORATED,,,44935515.0
DRS SYSTEMS  INC,,,44851489.129999995
FREQUENTIS USA  INC,,,44757413.59
SIRIUS INTERNATIONAL INSURANCE GROUP LTD,,,44724295.57
CARGILL  INCORPORATED,,,44650794.42
AMERICAN STATES WATER COMPANY,,,44599051.0
COMPU-LINK CORP,,,44383206.0
ALPHABET INC.,,,44367191.13
THOMSON COMPANY INC  THE,,,44277291.08
VANGUARD INSPECTION SERVICES,,,44215850.410000004
UTAH STATE UNIVERSITY,,,44107055.39
HEALTH SERVICES HOLDINGS  INC.,,,44079370.0
SENECA FOODS CORP,,,43955859.21
L3HARRIS INTERSTATE ELECTRONICS CORPORATION,,,43920677.42
ACC CONSTRUCTION CO.  INC.,,,43840344.44
BT GROUP PLC,,,43834564.66
INSTITUTE FOR DEFENSE ANALYSES INC,,,43824378.7
PHOENIX INTERNATIONAL HOLDINGS  INC.,,,43636739.0
MANUFACTURING TECHNIQUES  INC.,,,43498001.03
PFSWEB  INC.,,,43453581.44
CHIMES DISTRICT OF COLUMBIA INC,,,43437026.39999999
AKIMA SUPPORT OPERATIONS  LLC,,,43369832.28
WOODWARD  INC.,,,43195706.39
CH2M HILL - CDM PA-TAC RECOVERY SERVICES,,,43003153.760000005
THALES USA  INC.,,,42979256.0
GILBANE FEDERAL JV,,,42913417.73
CACI  LLC - COMMERCIAL,,,42898029.4
GE AVIATION SYSTEMS LLC,,,42861552.93
ENTRUST CORPORATION,,,42559865.51
VISTA OUTDOOR INC.,,,42474681.52
R. J. ZAVORAL & SONS  INC.,,,42450278.25
SPIRIT AEROSYSTEMS HOLDINGS  INC.,,,42346305.0
LEPRINO FOODS COMPANY,,,42180728.92999999
VIASAT INC,,,42124208.3
TEXTRON AVIATION DEFENSE LLC,,,42117572.65
ASM RESEARCH  LLC,,,41828006.96
WSP USA INC.,,,41796811.73
PHILIPS NORTH AMERICA LLC,,,41580460.53
ELBIT SYSTEMS LTD,,,41489619.10000001
MISSOURI DEPARTMENT OF SOCIAL SERVICES,,,41350208.89
CLEAR VANTAGE POINT SOLUTIONS LLC,,,41181548.37
SARGENT AEROSPACE & DEFENSE  LLC,,,41108199.2
GENERAL MOTORS COMPANY,,,40978708.0
ABBOTT LABORATORIES,,,40910342.0
WYNNEWOOD ENERGY CO LLC,,,40908744.75000001
PACIFIC SCIENTIFIC ENERGETIC MATERIALS COMPANY (CALIFORNIA LLC),,,40863957.46
FIRST COAST SECURITY SOLUTIONS  INC.,,,40851906.8
UNIVERSAL PROTECTION SERVICE  LIMITED PARTNERSHIP,,,40764219.620000005
MARE ISLAND DRY DOCK LLC,,,40623715.730000004
ROCHE HOLDING AG,,,40389033.04
LEIDOS SECURITY DETECTION & AUTOMATION  INC.,,,40047768.44
HOMESAFE ALLIANCE LLC,,,40000000.0
COLSA CORP,,,39914995.160000004
WOODS HOLE OCEANOGRAPHIC INSTITUTION,,,39800789.0
VISION TECHNOLOGIES SYSTEMS  INC.,,,39618915.0
QUEST DIAGNOSTICS INCORPORATED,,,39541814.04
NATIONAL CENTER FOR DEFENSE MANUFACTURING AND MACHINING,,,39353324.0
ANTHEM  INC.,,,39237759.0
CULMEN INTERNATIONAL  LLC,,,39198698.43
C. J. MAHAN CONSTRUCTION COMPANY  LLC,,,39078822.05
REGION WALLONNE,,,39051271.42
SAALEX CORP.,,,38981494.81
SUNQUEST INFORMATION SYSTEMS  INC.,,,38800000.0
ABT GLOBAL LLC,,,38217812.65
MAPP BIOPHARMACEUTICAL  INC.,,,38199745.0
SHIMMICK CONSTRUCTION COMPANY  INC.,,,38166777.22
ACUITY-CHS  LLC,,,38090067.0
PAE LABAT-ANDERSON LLC,,,38070389.86
IDAHO POWER CASH REMITTANCE,,,37947331.0
CH2M HILL CLARK NEXSEN ENERGY PARTNERS JV,,,37708770.60000001
HALFF ASSOCIATES  INC.,,,37648705.06
LOGISTICS MANAGEMENT INSTITUTE,,,37440961.44
INNOVATION ASSOCIATES  INC.,,,37338839.0
EUROPEAN HOLDING COMPANY  SE,,,37298177.65
POINT BLANK ENTERPRISES  INC.,,,37175511.44
EXP GLOBAL INC,,,37167468.87
HARVARD PILGRIM HEALTH CARE INC,,,37024999.99
TWO SIX LABS  LLC,,,36900659.0
DOMINION PRIVATIZATION TEXAS  LLC,,,36672228.24
COAST PROFESSIONAL  INC.,,,36606634.51
MODEX THERAPEUTICS LLC,,,36440886.62
DATA SYSTEMS ANALYSTS  INC.,,,36153074.94
BHATE ENVIRONMENTAL ASSOCIATES  INC.,,,36086718.35
ARROW ELECTRONICS  INC.,,,35786300.53
OLSSON INDUSTRIAL ELECTRIC  INC,,,35673919.0
SICPA HOLDING SA,,,35570039.2
DOMINION ENERGY  INC.,,,35561678.81
DIRECT ENERGY BUSINESS LLC,,,35412356.86
MACK DEFENSE LLC,,,35350656.91
COOPER/PORTS AMERICA  LLC,,,35324099.03
KEYLOGIC TECHNOLOGIES CORP.,,,35249910.980000004
WESTERN DIGITAL TECHNOLOGIES  INC.,,,35041091.0
PAR TECHNOLOGY CORPORATION,,,34901392.23
FREESTATE ELECTRIC COOPERATIVE INC,,,34792827.96
AI CONVOY TOPCO & CY S.C.A.,,,34684739.59
BLACK & VEATCH-JACOBS JV,,,34377531.0
J. KOKOLAKIS CONTRACTING  INC.,,,34348592.120000005
PULLMAN SST  INC.,,,34175000.0
PLANNED SYSTEMS INTERNATIONAL  INC.,,,33942986.879999995
SAFRAN,,,33862483.15
THE CBE GROUP  INC.,,,33775557.699999996
W R SYSTEMS LTD.,,,33748170.09
ARTEL  LLC,,,33715951.32
FORCEPOINT FEDERAL LLC,,,33682558.8
CW GOVERNMENT TRAVEL INC,,,33619301.04
GOLD CREEK FOODS  LLC,,,33544080.0
LIFE CYCLE ENGINEERING INC,,,33421067.909999996
STERLING COMPUTERS CORPORATION,,,33416407.51
ADVENT INTERNATIONAL CORPORATION,,,33189949.42
GHD-COWI JOINT VENTURE,,,32940974.51
BLACK MICRO CORPORATION,,,32794073.0
EMERALD COAST UTILITY SERVICES INC,,,32704560.0
AIRBUS US SPACE & DEFENSE INC,,,32674209.75
JOHNSON CONTROLS NAVY SYSTEMS  LLC,,,32646614.01
EQ & CH REMEDIATION,,,32441052.5
IRONCLAD TECHNOLOGY SERVICES LLC,,,32436664.14
RICARDO DEFENSE  INC.,,,32373840.4
GLOBAL PCCI (GPC),,,32366215.0
JOSEPH J. ALBANESE  INC.,,,32156478.5
TRIMAN INDUSTRIES INC,,,32079536.790000003
TK ELEVATOR CORPORATION,,,32046857.0
A.P. MOLLER OG HUSTRU CHASTINE MC-KINNEY MOLLERS FOND TIL ALMENE FORMAAL,,,32029192.220000006
GENERAL DYNAMICS GLOBAL FORCE  LLC,,,31934140.41
MASSMAN CONSTRUCTION CO.,,,31891221.0
REGENTS OF THE UNIVERSITY OF CALIFORNIA  THE,,,31875076.0
CHARLES RIVER LABORATORIES INTERNATIONAL  INC.,,,31848635.0
LGS INNOVATIONS LLC,,,31726950.55
SLALOM  LLC,,,31726450.53
QLARANT INTEGRITY SOLUTIONS LLC,,,31717573.0
RED GOLD INC,,,31662053.819999997
TEAMSTAFF  INC.,,,31611357.71
INTERNATIONAL SOS GOVERNMENT SERVICES INC.,,,31593441.09
HARKINS BUILDERS  INC.,,,31536881.04
COTTRELL CONTRACTING CORPORATION,,,31520000.0
HIGHMARK INC.,,,31430150.0
TNT CONSTRUCTORS,,,31373062.0
AB VOLVO,,,31310081.27
STATE OF TEXAS TWC,,,31260874.07
STRATAS FOODS LLC,,,31259380.75
PACIFIC DEFENSE STRATEGIES  INC.,,,31256281.0
JLL-RER SOLUTIONS  LLC,,,31235110.14
BARNARD CONSTRUCTION COMPANY  INCORPORATED,,,31091828.6
BLIND AND VISION IMPAIRED  VIRGINIA DEPARTMENT FOR THE,,,31088218.009999998
NELSON REFRIGERATION INC,,,31059114.020000003
PTC INC.,,,31023027.24
POSTPARTUM SUPPORT INTERNATIONAL,,,30980014.56
DELOITTE LLP,,,30885708.32
JOLINA CAPITAL INC,,,30884852.07
THE NEIL JONES FOOD COMPANY,,,30851094.480000004
HDR ENGINEERING  INC OF THE CAROLINAS,,,30791589.76
DIGITAL MANAGEMENT  LLC,,,30389687.24
ARMTEC COUNTERMEASURES CO,,,30345713.32
AIRBORNE SYSTEMS NORTH AMERICA OF CA INC,,,30214618.0
CAPGEMINI GOVERNMENT SOLUTIONS LLC,,,30061270.609999996
ALLUCENT GOVERNMENT SERVICES (US) LLC,,,30055033.0
THE KACE COMPANY  LLC.,,,30000000.0
BURLINGTON INDUSTRIES LLC,,,29910285.5
FORS MARSH GROUP LLC,,,29897201.360000003
GRYPHON TECHNOLOGIES  L.C.,,,29846155.089999996
ENTERPRISE RESOURCE PERFORMANCE  INC,,,29484348.29
JONES STEVEDORING COMPANY,,,29454718.46
WS AUDIOLOGY USA  INC,,,29390011.47
CHEMRING GROUP PLC,,,29251596.19
POND-BAKER JV,,,29227112.58
POST HOLDINGS  INC.,,,29202110.009999998
HOSPITAL HOUSEKEEPING SYSTEMS LLC,,,29180849.68
MAGELLAN FEDERAL  INC.,,,29146917.79
CASHMAN DREDGING AND MARINE CONTRACTING  CO.  LLC,,,29131250.0
SALTCHUK RESOURCES  INC.,,,29118739.700000003
CONCURRENT TECHNOLOGIES CORPORATION,,,29078467.55
C. H. GUERNSEY & COMPANY,,,29070176.880000003
STANDARDAERO AVIATION HOLDINGS  INC.,,,28997111.4
22ND CENTURY TECHNOLOGIES  INC.,,,28924123.95
BOLTON PARTNERS  INC.,,,28817672.7
IDEMIA IDENTITY & SECURITY USA LLC,,,28803858.680000003
NISH,,,28787500.0
COMMUNICATIONS & POWER INDUSTRIES LLC,,,28702612.380000003
BMC SOFTWARE  INC.,,,28530000.0
APTIM-AMENTUM ALASKA DECOMMISSIONING LLC,,,28499996.0
AAR MANUFACTURING  INC.,,,28470484.5
PORT OF PORTLAND (INC),,,28451925.0
ENGIE RESOURCES LLC,,,28379724.47
UNIVERSITY OF MEMPHIS,,,28376309.0
SIKICH CPA LLC,,,28359320.82
QUANTA SERVICES  INC.,,,28315174.240000002
JBS S/A.,,,28312102.95
THE ADMINISTRATORS OF THE TULANE EDUCATIONAL FUND,,,28133950.0
ARMED FORCES SERVICES CORPORATION,,,28111299.049999997
METROSTAR SYSTEMS  INC.,,,28092752.03
CENTRAL RESEARCH INC,,,27656295.14
MIDTOWN PERSONNEL INC.,,,27615108.88
HONEYWELL INTERNATIONAL  INC,,,27581040.509999998
VIRGINIA ELECTRIC AND POWER COMPANY,,,27546478.88
GATR TECHNOLOGIES  INC.,,,27510590.11
THUNDERCAT TECHNOLOGY  LLC,,,27510295.49
KIEWIT INFRASTRUCTURE CO.,,,27487333.0
FALCONWOOD,,,27447577.75
MOFFATT & NICHOL - AECOM JV,,,27397919.470000003
NATIONAL TECHNOLOGIES ASSOCIATES  INC.,,,27309909.169999998
L. S. BLACK CONSTRUCTORS  INC.,,,27287735.0
SCHNEIDER ELECTRIC BUILDINGS CRITICAL SYSTEMS  INC,,,27218400.0
INDUSTRIES OF THE BLIND  INCORPORATED,,,26943665.799999997
MATTHEWS GROUP INC,,,26759857.45
ASTRONICS TEST SYSTEMS INC.,,,26708523.91
VSE CORPORATION,,,26559928.2
MELWOOD HORTICULTURAL TRAINING CENTER  INC.,,,26554763.459999997
OCI OVERSEAS HOLDING LIMITED,,,26497980.42
SUMMIT TECHNOLOGIES  INC.,,,26344897.0
DEPENDABLE HEALTH SERVICES  INC,,,26254911.53
EAGLE SECURITY GROUP INC,,,26248766.4
BENHAM-STANLEY  LLC,,,26240325.58
JND HOLDINGS LLC,,,26232896.84
IRIDIUM SATELLITE LLC,,,26083492.590000004
JOHN C. GRIMBERG CO.  INC.,,,26072377.720000003
MERRICK & COMPANY,,,26022313.41
COGNOSANTE MVH LLC,,,26003933.72
SONALYSTS  INC.,,,25963664.0
THE BROAD INSTITUTE INC,,,25940368.58
FEDERAL EXPRESS CORP,,,25730623.87
NTT DATA SERVICES FEDERAL GOVERNMENT  LLC,,,25730480.41
TRIUMPH GROUP  INC.,,,25628401.57
NATIONAL INSTRUMENTS CORPORATION,,,25527502.0
"ADVANCED ACCELERATOR APPLICATIONS USA, INC.",,,25522010.95
THE ANDERSONS INC,,,25476662.7
BAYLOR COLLEGE OF MEDICINE,,,25476303.96
MAERSK LINE  LIMITED,,,25432796.28
MERCURY SYSTEMS  INC.,,,25422953.0
THE UNIVERSITY OF CHICAGO,,,25361068.38
COVENANT SERVICES WORLDWIDE LLC,,,25351829.23
AMERICAN BEEF PACKERS  INC.,,,25323564.009999998
ACUMEN SOLUTIONS  INC.,,,25319540.7
COMMERCIAL CONTRACTING CORP,,,25206000.0
EQUINIX  INC.,,,25071873.56
THE JOHNS HOPKINS UNIVERSITY,,,25063738.0
EXPONENT  INC.,,,25062892.31
VECTOR-SOLUTIONS.COM  INC.,,,25012352.94
BLUEHALO LABS  LLC,,,24979952.8
EA-BAKER JV,,,24976624.43
STELLAR SCIENCE LTD. CO.,,,24940816.0
VERSABILITY RESOURCES  INC.,,,24931149.0
FORT RILEY UTILITY SERVICES INC,,,24924986.0
GPV III  INC.,,,24924014.409999996
WISCONSIN PHYSICIANS SERVICE INSURANCE CORP.,,,24869643.23
FULCRUM IT SERVICES  LLC,,,24796188.18
DIRECT ENERGY BUSINESS MARKETING  LLC,,,24789554.68
SIEMENS AG,,,24731319.99
AQUA ENGINEERS  INC.,,,24671676.22
PRECISE SYSTEMS  INC.,,,24652813.49
THE TEXAS A&M UNIVERSITY SYSTEM,,,24556509.0
FOUNDATION MEDICINE  INC.,,,24518382.0
COLLINS ELBIT VISION SYSTEMS  LLC,,,24490620.0
EATON AEROSPACE  LLC,,,24486579.7
BLUEHALO  LLC,,,24476289.0
ICON GOVERNMENT AND PUBLIC HEALTH SOLUTIONS  INC.,,,24453945.0
THE HENRY M. JACKSON FOUNDATION FOR THE ADVANCEMENT OF MILITARY MEDICINE  INC.,,,24440264.32
PITNEY BOWES INC.,,,24410931.980000004
ONEIDA TECHNICAL SOLUTIONS  LLC,,,24317682.61
CAE DOSS AVIATION INC.,,,24148291.79
HENRY FORD HEALTH SYSTEM,,,24086343.0
SANOFI,,,24036461.22
SEQIRUS USA INC,,,23977140.0
EXXEL OUTDOORS  INC.,,,23775067.5
INTERNATIONAL AIDS VACCINE INITIATIVE INC.,,,23693369.0
POLARIS INC.,,,23636299.7
ACCENT CONTROLS  INC.,,,23613963.65
SYMETRICS INDUSTRIES  LLC,,,23572845.0
INDYNE  INC.,,,23548951.19
WESTON-EA JV,,,23522521.61
UNIVERSAL PROTECTION SERVICE  LLC,,,23471896.799999997
JONES LANG LASALLE AMERICAS  INC.,,,23435526.15
NATIONAL COLLEGIATE INVENTORS & INNOVATORS ALLIANCE  INC.,,,23315697.02
PPG INDUSTRIES  INC.,,,23212599.08
ZOLON TECH INC.,,,23183870.9
STRYKER SALES  LLC,,,23144742.0
PRIORITY ONE SERVICES  INC.,,,23142790.380000003
BERKSHIRE HATHAWAY INC.,,,23110014.56
TORRENT TECHNOLOGIES  INC.,,,23092261.52
MARINE TERMINALS CORPORATION,,,23003046.45
AEROJET ROCKETDYNE HOLDINGS  INC.,,,22967358.17
GEORGIA  STATE OF,,,22849728.48
THE CORPORATION OF MERCER UNIVERSITY,,,22832927.35
CAE INC,,,22785028.81
SUMMIT MATERIALS  INC.,,,22736216.4
HBP JOINT VENTURE,,,22676198.0
STATE OF NEW JERSEY,,,22581680.41
AT&T MOBILITY NATIONAL ACCOUNTS  LLC,,,22580045.689999998
CARDINAL HEALTH  INC.,,,22578634.099999998
CIRCOR INTERNATIONAL  INC.,,,22542597.0
AXON ENTERPRISE  INC.,,,22438555.659999996
EAGLE HILL CONSULTING  LLC,,,22436118.2
DUKE ENERGY PROGRESS  LLC,,,22219244.34
THE MISSION ESSENTIAL GROUP LLC,,,22119476.3
ECONOMETRICA  INC.,,,22031732.48
II-VI INCORPORATED,,,21970903.0
AAR CORP.,,,21950439.86
KETTNER-WESTFALIA JAGDREISEN HOLDING GMBH,,,21948029.009999998
WILLIAM DEMANTS OG HUSTRU IDA EMILIES (MILLAS) FOND - KALDET,,,21916250.35
BOH ENVIRONMENTAL  L.L.C.,,,21897606.979999997
C4 PLANNING SOLUTIONS  LLC,,,21894978.0
TELETRONICS TECHNOLOGY CORPORATION,,,21891940.580000002
MASTER SECURITY COMPANY LLC,,,21877122.26
AVANTUS FEDERAL LLC,,,21873233.95
REV AMBULANCE GROUP ORLANDO  INC.,,,21867984.0
POINT BLANK PROTECTIVE APPAREL & UNIFORMS  LLC,,,21794199.55
NEW RESIDENTIAL INVESTMENT CORP.,,,21788248.57
CONDUENT FEDERAL SOLUTIONS  LLC,,,21745351.68
AVON PROTECTION PLC,,,21594784.279999997
THE WOODS HOLE GROUP  INC.,,,21530218.990000002
ADVANCED SYSTEMS/SUPPORTABILITY ENGINEERING TECHNOLOGIES AND TOOLS  INC.,,,21529424.0
JRCRUZ CORP.,,,21500000.0
KAISER FOUNDATION HOSPITALS,,,21475276.0
MARSH & MCLENNAN COMPANIES  INC.,,,21291763.0
TRIDENT SEAFOODS CORPORATION,,,21250876.5
TELEDYNE DEFENSE ELECTRONICS  LLC,,,21243406.38
MNDPI PACIFIC JV,,,21239972.0
BLUE BIRD BODY COMPANY,,,21212354.0
UNIVERSITY OF SOUTHERN CALIFORNIA,,,21212248.0
MCMILLEN  LLC,,,21184493.59
TOTALENERGIES SE,,,21172646.8
ARCH CHEMICALS  INC.,,,21046454.380000003
J. B. HUNT TRANSPORT SERVICES  INC.,,,21046100.54
UNIVERSITY OF NORTH CAROLINA AT CHAPEL HILL,,,20952333.0
CH2M HILL CONSTRUCTORS  INC.,,,20918288.27
SEGUE TECHNOLOGIES  INC.,,,20915902.4
LORD CORP,,,20869540.75
SIERRA SPACE CORP,,,20860336.4
TYSON FOODS  INC.,,,20826393.12
TERADYNE  INC.,,,20680517.39
HELLMUTH  OBATA & KASSABAUM  P.C.,,,20679897.72
PRWT SERVICES  INC.,,,20646891.93
UNIVERSITY OF MAINE SYSTEM,,,20645257.0
FORTIVE CORPORATION,,,20643302.38
CALIFORNIA  STATE OF,,,20620444.57
NORTH BAY REHABILITATION SERVICES  INC.,,,20599118.849999998
RESEARCH INNOVATIONS INCORPORATED,,,20543960.95
NISTAC PLUS JV,,,20459246.4
FLORIDA POWER & LIGHT COMPANY,,,20356697.32
GOODWILL INDUSTRIES OF THE CHESAPEAKE  INC.,,,20318608.48
VEROS REAL ESTATE SOLUTIONS  LLC,,,20314431.91
THE UNIVERSITY OF IOWA,,,20263073.47
MCLEAN HOSPITAL CORPORATION  THE,,,20246653.0
CHRISTMAN COMPANY  THE,,,20120244.37
GEORGE'S  INC.,,,20099619.96
TELEPHONICS CORP,,,20025909.26
TENNESSEE ACQUISITION HOLDING B.V.,,,19959288.0
MEMPHIS GOODWILL INDUSTRIES INC,,,19952853.680000003
GUIDEHOUSE DIGITAL LLC,,,19936733.64
HDR ARCHITECTURE  INC.,,,19934049.51
SOUTHERN CONTRACTING  LLC,,,19914264.0
SOBRAN  INC.,,,19912061.5
TANTUS TECHNOLOGIES  INC.,,,19867888.74
COBHAM ADVANCED ELECTRONIC SOLUTIONS INC.,,,19855497.51
OLD DOMINION UTILITY SERVICES  INC.,,,19824583.88
BOLLINGER SHIPYARDS LOCKPORT  L.L.C.,,,19789684.08
