ID,Title,Agency,NAICS,NAICS_Description,Value_Low,Value_High,Set_Aside,Competition_Level,Why_Low_Competition,Key_Primes,Prime_Contacts,Action_Steps,Deadline_Type,Industry_Category
116,Court Reporting Services,AOUSC,561492,Court Reporting Services,5000000,15000000,Small Business,Low,Federal court certifications limited,"Veritext,US Legal Support,Planet Depos",supplierdiversity@veritext.com,Contact AOUSC OSDBU,Ongoing,Professional Services
117,Correctional Services,BOP,561210,Facilities Support Services,20000000,70000000,Small Business,Low,Correctional facility experience required,"GEO Group,CoreCivic,MTC",supplierdiversity@geogroup.com,Contact BOP OSDBU,Ongoing,Facilities
118,Inmate Healthcare,BOP,621999,Healthcare Services,15000000,50000000,Small Business,Low,Correctional healthcare certifications,"Wexford Health,Corizon,NaphCare",supplierdiversity@wexfordhealth.com,Contact BOP medical services,Ongoing,Healthcare
119,Rehabilitation Programs,BOP,624190,Social Services,10000000,30000000,Small Business,Low,Correctional programming expertise,"GEO Group,CoreCivic,MTC",supplierdiversity@geogroup.com,Contact BOP reentry programs,Ongoing,Professional Services
120,Probation Monitoring,AOUSC,561621,Security Services,10000000,35000000,Small Business,Low,Electronic monitoring expertise,"BI Incorporated,Sentinel,Track Group",supplierdiversity@bi.com,Contact federal probation offices,Ongoing,Security
121,Immigration Services,USCIS,541990,Other Professional Services,20000000,70000000,Small Business,Low,Immigration processing expertise,"GDIT,Leidos,SAIC",smallbusiness@gdit.com,Contact USCIS OSDBU,Ongoing,Professional Services
122,Refugee Resettlement,State Dept,624190,Social Services,15000000,45000000,Small Business,Low,Refugee services expertise limited,"IRC,Catholic Charities,HIAS",partner@rescue.org,Contact State PRM bureau,Ongoing,Professional Services
123,Passport Processing,State Dept,541990,Other Professional Services,15000000,50000000,Small Business,Low,Passport services expertise required,"GDIT,Leidos,CGI",smallbusiness@gdit.com,Contact State CA bureau,Ongoing,Professional Services
124,Visa Processing Support,State Dept,541990,Other Professional Services,15000000,50000000,Small Business,Low,Consular operations expertise,"GDIT,CGI,CACI",smallbusiness@gdit.com,Contact State CA bureau,Ongoing,Professional Services
125,Embassy Security,State Dept DS,561612,Security Guards,25000000,80000000,Small Business,Low,Diplomatic security clearances required,"Triple Canopy,Aegis,SOC",supplierdiversity@constellis.com,Contact DS OSDBU,Ongoing,Security
126,Diplomatic Courier Services,State Dept,492110,Courier Services,10000000,30000000,Small Business,Low,Diplomatic pouch handling certifications,"DHL,UPS,FedEx",supplierdiversity@dhl.com,Contact State logistics,Ongoing,Logistics
127,Foreign Affairs Training,FSI,611430,Professional Training,10000000,35000000,Small Business,Low,Foreign affairs expertise required,"Berlitz,GDIT,CACI",supplierdiversity@berlitz.com,Contact FSI OSDBU,Ongoing,Professional Services
128,International Development,USAID,541611,Management Consulting,30000000,100000000,Small Business,Low,International development expertise,"Chemonics,DAI,RTI",supplierdiversity@chemonics.com,Contact USAID OSDBU,Ongoing,Professional Services
129,Global Health Programs,USAID,541711,R&D Biotechnology,25000000,80000000,Small Business,Low,Global health expertise required,"JSI,FHI 360,PATH",supplierdiversity@jsi.com,Contact USAID Global Health,Ongoing,Healthcare
130,Agricultural Development,USAID,541611,Management Consulting,20000000,60000000,Small Business,Low,Agricultural development expertise,"Land O'Lakes,Winrock,ACDI/VOCA",supplierdiversity@landolakesinc.com,Contact USAID agriculture,Ongoing,Professional Services
131,Education Programs International,USAID,611710,Educational Support,15000000,50000000,Small Business,Low,International education expertise,"Creative Associates,RTI,FHI 360",supplierdiversity@creativedc.com,Contact USAID education,Ongoing,Professional Services
132,Democracy & Governance,USAID,541611,Management Consulting,20000000,65000000,Small Business,Low,Governance expertise limited,"Chemonics,DAI,IRI",supplierdiversity@chemonics.com,Contact USAID DRG,Ongoing,Professional Services
133,Economic Growth Programs,USAID,541611,Management Consulting,25000000,75000000,Small Business,Low,Economic development expertise,"Nathan Associates,DAI,Chemonics",supplierdiversity@nathaninc.com,Contact USAID economic growth,Ongoing,Professional Services
134,Humanitarian Assistance,USAID BHA,624230,Emergency Services,30000000,100000000,Small Business,Low,Humanitarian response expertise,"CARE,Save the Children,CRS",partner@care.org,Contact USAID BHA,Emergency,Professional Services
135,Peacekeeping Support,State Dept,541990,Other Professional Services,20000000,70000000,Small Business,Low,International peacekeeping expertise,"PAE,DynCorp,Engility",supplierdiversity@pae.com,Contact State PM bureau,Ongoing,Professional Services
136,Arms Control Verification,State Dept,541990,Other Professional Services,15000000,45000000,Small Business,Low,Arms control expertise limited,"SAIC,Sandia Labs,PNNL",smallbusiness@saic.com,Contact State AVC bureau,Ongoing,Professional Services
137,Intelligence Community IT,ODNI,541512,Computer Systems Design,30000000,100000000,Small Business,Low,TS/SCI with CI poly severely limits bidders,"Booz Allen Hamilton,SAIC,Leidos",smallbusinesscompliance@bah.com,Must have existing cleared workforce,Ongoing,IT/Cybersecurity
138,Counterterrorism Analysis,NCTC,541990,Other Professional Services,20000000,60000000,Small Business,Low,CT clearance and expertise limited,"Booz Allen Hamilton,SAIC,ManTech",smallbusinesscompliance@bah.com,Contact ODNI OSDBU,Ongoing,Professional Services
139,Signals Intelligence Support,NSA,541512,Computer Systems Design,25000000,80000000,Small Business,Low,SIGINT expertise with TS/SCI poly required,"Booz Allen Hamilton,CACI,Leidos",smallbusinesscompliance@bah.com,Must have existing cleared personnel,Ongoing,IT/Cybersecurity
140,Human Intelligence Support,CIA,541990,Other Professional Services,20000000,65000000,Small Business,Low,HUMINT expertise with TS/SCI poly required,"Booz Allen Hamilton,SAIC,L3Harris",smallbusinesscompliance@bah.com,Contact CIA OSDBU,Ongoing,Professional Services
141,Imagery Analysis Support,NGA,541370,Surveying Services,20000000,60000000,Small Business,Low,GEOINT expertise with TS/SCI required,"Maxar,Leidos,CACI",smallbusiness@caci.com,Contact NGA OSDBU,Ongoing,Professional Services
142,Open Source Intelligence,Multiple,541990,Other Professional Services,15000000,45000000,Small Business,Low,OSINT expertise and clearances,"Babel Street,Palantir,Recorded Future",partner@babelstreet.com,Contact agency OSINT offices,Ongoing,Professional Services
143,Cyber Threat Intelligence,CISA,541512,Computer Systems Design,15000000,50000000,Small Business,Low,CTI expertise with clearances required,"CrowdStrike,Mandiant,Recorded Future",partner@crowdstrike.com,Contact CISA OSDBU,Ongoing,IT/Cybersecurity
144,Special Operations Support,SOCOM,541990,Other Professional Services,30000000,100000000,Small Business,Low,SOF experience with TS/SCI required,"L3Harris,SAIC,Booz Allen",small.business@l3harris.com,Contact SOCOM OSDBU,Ongoing,Professional Services
145,Military Training Ranges,Army,711310,Sports Facilities,20000000,70000000,Small Business,Low,Range operations expertise limited,"Cubic,L3Harris,SAIC",supplier.diversity@cubic.com,Contact Army training centers,Ongoing,Facilities
146,Combat Simulation Systems,PEO STRI,541512,Computer Systems Design,20000000,65000000,Small Business,Low,Military simulation expertise,"CAE,Cubic,Boeing",supplierdiversity@cae.com,Contact PEO STRI OSBP,Ongoing,IT/Cybersecurity
147,Live Fire Training,Marines,711310,Sports Facilities,15000000,50000000,Small Business,Low,Live fire safety certifications,"Cubic,InVeris,Meggitt",supplier.diversity@cubic.com,Contact MARCORSYSCOM,Ongoing,Professional Services
148,Flight Simulation,Air Force,541512,Computer Systems Design,25000000,80000000,Small Business,Low,Flight sim expertise limited,"CAE,L3Harris,Boeing",supplierdiversity@cae.com,Contact AFLCMC simulation,Ongoing,IT/Cybersecurity
149,Naval Warfare Training,Navy,541512,Computer Systems Design,20000000,70000000,Small Business,Low,Naval warfare expertise required,"Raytheon,BAE Systems,L3Harris",small.business@raytheon.com,Contact NAWCTSD,Ongoing,IT/Cybersecurity
150,Recruiting Services,Military,541612,HR Consulting,15000000,50000000,Small Business,Low,Military recruiting experience,"ManTech,CACI,Serco",smallbusiness@serco.com,Contact military recruiting commands,Ongoing,Professional Services
151,Veteran Transition Services,VA,611710,Educational Support,10000000,35000000,SDVOSB,Low,SDVOSB with veteran transition expertise,"Hire Heroes,American Corporate Partners,Wounded Warrior",partner@hireheroesusa.org,Register in VA VetBiz,Ongoing,Professional Services
152,Military Family Support,DoD MWR,624190,Social Services,10000000,30000000,Small Business,Low,Military family services expertise,"Magellan Health,Military OneSource providers",supplierdiversity@magellanhealth.com,Contact MWR regional offices,Ongoing,Professional Services
153,Childcare Services,DoD,624410,Child Care Services,15000000,45000000,Small Business,Low,DoD childcare certifications required,"KinderCare,Bright Horizons,Learning Care",supplierdiversity@kindercare.com,Contact military childcare offices,Ongoing,Professional Services
154,Youth Programs,DoD MWR,624110,Youth Services,10000000,30000000,Small Business,Low,Youth program certifications,"Boys & Girls Clubs,YMCA partners",partner@bgca.org,Contact MWR youth programs,Ongoing,Professional Services
155,Commissary Operations,DeCA,445110,Supermarkets,20000000,70000000,Small Business,Low,Commissary operations expertise limited,"Sodexo,AAFES contractors",supplier.diversity@sodexo.com,Contact DeCA OSDBU,Ongoing,Food Services
156,Exchange Retail,AAFES,452210,Department Stores,15000000,50000000,Small Business,Low,Military exchange expertise,"Various retail partners",aafes.smallbusiness@aafes.com,Contact AAFES OSDBU,Ongoing,Retail
157,Recreation Services,DoD MWR,713940,Fitness Centers,10000000,30000000,Small Business,Low,Recreation management expertise,"Sports Facilities Companies,REI partners",supplierdiversity@rei.com,Contact MWR recreation,Ongoing,Facilities
158,Golf Course Management,DoD MWR,713910,Golf Courses,5000000,15000000,Small Business,Low,Golf course management expertise,"Troon,Billy Casper Golf",supplierdiversity@troon.com,Contact MWR golf operations,Ongoing,Facilities
159,Lodging Operations,DoD,721110,Hotels,15000000,50000000,Small Business,Low,Military lodging expertise,"IHG Army Hotels,Navy Gateway Inns",supplierdiversity@ihg.com,Contact military lodging,Ongoing,Hospitality
160,Club Operations,DoD MWR,722410,Restaurants,10000000,30000000,Small Business,Low,Club management expertise,"Sodexo,Aramark",supplier.diversity@sodexo.com,Contact MWR club operations,Ongoing,Food Services
161,Shipyard Industrial Services,Navy,336611,Ship Building,30000000,100000000,Small Business,Low,Shipyard industrial certifications,"Huntington Ingalls,General Dynamics NASSCO",supplier.diversity@hii.com,Contact naval shipyards,Ongoing,Manufacturing
162,Submarine Systems,Navy,336611,Ship Building,40000000,150000000,Small Business,Low,Submarine expertise extremely limited,"General Dynamics EB,Huntington Ingalls",supplierdiversity@gd.com,Contact PEO Submarines,Ongoing,Manufacturing
163,Aircraft Carrier Support,Navy,336611,Ship Building,50000000,200000000,Small Business,Low,Carrier expertise limited to few vendors,"Huntington Ingalls,BAE Systems",supplier.diversity@hii.com,Contact Newport News Shipbuilding,Ongoing,Manufacturing
164,Destroyer Maintenance,Navy,336611,Ship Building,25000000,80000000,Small Business,Low,DDG maintenance expertise,"BAE Systems,General Dynamics",Marianne.Tenore@BAESYSTEMS.COM,Contact naval ship repair,Ongoing,Manufacturing
165,Cruiser Modernization,Navy,336611,Ship Building,30000000,100000000,Small Business,Low,Cruiser systems expertise limited,"BAE Systems,Huntington Ingalls",Marianne.Tenore@BAESYSTEMS.COM,Contact PMS 400 cruisers,Ongoing,Manufacturing
166,Littoral Combat Ship,Navy,336611,Ship Building,20000000,70000000,Small Business,Low,LCS expertise limited to prime teams,"Lockheed Martin,Austal USA",sefnee.a.manzanares@lmco.com,Contact LCS program office,Ongoing,Manufacturing
167,Frigate Construction,Navy,336611,Ship Building,30000000,100000000,Small Business,Low,FFG-62 program limited suppliers,"Fincantieri Marinette Marine",supplierdiversity@fincantieri.com,Contact PEO Ships FFG office,Ongoing,Manufacturing
168,Amphibious Ships,Navy,336611,Ship Building,25000000,90000000,Small Business,Low,Amphib expertise limited,"Huntington Ingalls,General Dynamics",supplier.diversity@hii.com,Contact PEO Ships amphibs,Ongoing,Manufacturing
169,Auxiliary Ships,Navy MSC,336611,Ship Building,20000000,70000000,Small Business,Low,Auxiliary ship expertise limited,"NASSCO,Philly Shipyard,VT Halter",supplierdiversity@gd.com,Contact MSC OSDBU,Ongoing,Manufacturing
170,Coast Guard Cutters,USCG,336611,Ship Building,25000000,80000000,Small Business,Low,USCG cutter expertise limited,"Bollinger,Eastern Shipbuilding",partner@bollingershipyards.com,Contact USCG Acquisition,Ongoing,Manufacturing
171,Fighter Aircraft Support,Air Force,336411,Aircraft Manufacturing,40000000,150000000,Small Business,Low,Fighter expertise limited to prime teams,"Lockheed Martin,Boeing,Northrop Grumman",sefnee.a.manzanares@lmco.com,Contact ACC weapon systems,Ongoing,Aviation
172,Bomber Programs,Air Force,336411,Aircraft Manufacturing,35000000,120000000,Small Business,Low,Bomber expertise extremely limited,"Northrop Grumman,Boeing",small.business@northropgrumman.com,Contact AFGSC programs,Ongoing,Aviation
173,Tanker Aircraft,Air Force,336411,Aircraft Manufacturing,30000000,100000000,Small Business,Low,Tanker expertise limited,"Boeing,Airbus Defence",small.business@boeing.com,Contact KC-46 program,Ongoing,Aviation
174,Transport Aircraft,Air Force,336411,Aircraft Manufacturing,25000000,80000000,Small Business,Low,C-17/C-130 expertise limited,"Boeing,Lockheed Martin",small.business@boeing.com,Contact AMC programs,Ongoing,Aviation
175,Trainer Aircraft,Air Force,336411,Aircraft Manufacturing,20000000,60000000,Small Business,Low,Trainer aircraft expertise,"Boeing,Leonardo DRS",small.business@boeing.com,Contact AETC programs,Ongoing,Aviation
176,Special Mission Aircraft,Air Force,336411,Aircraft Manufacturing,30000000,100000000,Small Business,Low,SOF aircraft modifications,"L3Harris,Sierra Nevada,Boeing",small.business@l3harris.com,Contact AFSOC programs,Ongoing,Aviation
177,Helicopter Programs,Army,336411,Aircraft Manufacturing,30000000,100000000,Small Business,Low,Helicopter expertise limited,"Boeing,Sikorsky,Bell",small.business@boeing.com,Contact PEO Aviation,Ongoing,Aviation
178,Tiltrotor Programs,Marines,336411,Aircraft Manufacturing,25000000,80000000,Small Business,Low,V-22 expertise very limited,"Bell Boeing",smallbusiness@bellflight.com,Contact PMA-275 V-22,Ongoing,Aviation
179,Unmanned Aircraft,Multiple,336411,Aircraft Manufacturing,25000000,90000000,Small Business,Low,UAS expertise growing but limited,"General Atomics,Northrop Grumman,L3Harris",smallbusiness@ga.com,Contact UAS program offices,Ongoing,Aviation
180,Engine Programs,Air Force,336412,Aircraft Engine Manufacturing,30000000,100000000,Small Business,Low,Jet engine expertise very limited,"GE Aviation,Pratt & Whitney,Rolls Royce",supplierdiversity@ge.com,Contact propulsion programs,Ongoing,Manufacturing
181,Tank Programs,Army,336992,Tank Manufacturing,30000000,100000000,Small Business,Low,Tank expertise limited to GDLS,"General Dynamics Land Systems",supplierdiversity@gd.com,Contact PEO Ground Combat,Ongoing,Manufacturing
182,Infantry Fighting Vehicles,Army,336992,Military Vehicles,25000000,80000000,Small Business,Low,IFV expertise limited,"BAE Systems,General Dynamics,Oshkosh",Marianne.Tenore@BAESYSTEMS.COM,Contact PEO Ground Combat,Ongoing,Manufacturing
183,Artillery Systems,Army,332995,Ordnance Manufacturing,25000000,75000000,Small Business,Low,Artillery expertise limited,"BAE Systems,General Dynamics",Marianne.Tenore@BAESYSTEMS.COM,Contact PEO Ammunition,Ongoing,Manufacturing
184,Tactical Vehicles,Army/Marines,336120,Truck Manufacturing,30000000,100000000,Small Business,Low,Military truck expertise,"Oshkosh,Navistar,AM General",supplierdiversity@oshkoshcorp.com,Contact PEO Combat Support,Ongoing,Manufacturing
185,Mine Resistant Vehicles,Army,336120,Truck Manufacturing,20000000,70000000,Small Business,Low,MRAP expertise limited,"Oshkosh,BAE Systems,Navistar",supplierdiversity@oshkoshcorp.com,Contact MRAP program,Ongoing,Manufacturing
186,Missile Systems,MDA,336414,Guided Missiles,40000000,150000000,Small Business,Low,Missile expertise extremely limited,"Raytheon,Lockheed Martin,Northrop Grumman",small.business@raytheon.com,Contact MDA OSDBU,Ongoing,Manufacturing
187,Air Defense Systems,Army,336414,Guided Missiles,30000000,100000000,Small Business,Low,Air defense expertise limited,"Raytheon,Lockheed Martin",small.business@raytheon.com,Contact PEO Missiles,Ongoing,Manufacturing
188,Precision Munitions,Air Force,332993,Ammunition Manufacturing,25000000,80000000,Small Business,Low,PGM expertise limited,"Raytheon,Lockheed Martin,Boeing",small.business@raytheon.com,Contact AF munitions programs,Ongoing,Manufacturing
189,Naval Weapons Systems,Navy,332993,Ammunition Manufacturing,25000000,80000000,Small Business,Low,Naval weapons expertise limited,"Raytheon,Lockheed Martin,BAE Systems",small.business@raytheon.com,Contact PEO IWS,Ongoing,Manufacturing
190,Small Arms & Ammunition,Army,332994,Small Arms Manufacturing,20000000,60000000,Small Business,Low,Small arms expertise limited,"SIG Sauer,FN America,General Dynamics OTS",supplierdiversity@sigsauer.com,Contact PEO Soldier,Ongoing,Manufacturing
191,Body Armor & Protection,Army,339113,Safety Equipment,15000000,50000000,Small Business,Low,Body armor certifications required,"Point Blank,Safariland,Ceradyne",supplierdiversity@pointblankenterprises.com,Contact PEO Soldier,Ongoing,Manufacturing
192,Night Vision Systems,Army,334511,Electromedical Equipment,20000000,70000000,Small Business,Low,Night vision expertise limited,"L3Harris,Elbit America,BAE Systems",small.business@l3harris.com,Contact PEO Soldier,Ongoing,Manufacturing
193,Communications Equipment,Army,334220,Communications Equipment,25000000,80000000,Small Business,Low,Tactical comms expertise limited,"L3Harris,Raytheon,General Dynamics",small.business@l3harris.com,Contact PEO C3T,Ongoing,Manufacturing
194,Electronic Warfare Systems,Navy,334511,Electronic Equipment,30000000,100000000,Small Business,Low,EW expertise limited,"BAE Systems,Northrop Grumman,L3Harris",Marianne.Tenore@BAESYSTEMS.COM,Contact PEO IWS EW,Ongoing,Manufacturing
195,Radar Systems,Multiple,334511,Electronic Equipment,30000000,100000000,Small Business,Low,Radar expertise limited,"Raytheon,Northrop Grumman,Lockheed Martin",small.business@raytheon.com,Contact radar program offices,Ongoing,Manufacturing
196,Sonar Systems,Navy,334511,Electronic Equipment,25000000,80000000,Small Business,Low,Sonar expertise very limited,"Raytheon,L3Harris,Thales",small.business@raytheon.com,Contact PEO Undersea,Ongoing,Manufacturing
197,Torpedo Programs,Navy,336414,Guided Missiles,25000000,80000000,Small Business,Low,Torpedo expertise very limited,"Raytheon,Northrop Grumman",small.business@raytheon.com,Contact PEO Undersea torpedoes,Ongoing,Manufacturing
198,Counter-UAS Systems,Multiple,334511,Electronic Equipment,15000000,50000000,Small Business,Low,C-UAS expertise emerging,"L3Harris,Raytheon,SRC",small.business@l3harris.com,Contact C-UAS program offices,Ongoing,Manufacturing
199,Directed Energy Weapons,Multiple,335999,Electronic Equipment,20000000,70000000,Small Business,Low,DEW expertise very limited,"Lockheed Martin,Raytheon,Northrop Grumman",sefnee.a.manzanares@lmco.com,Contact DEW program offices,Ongoing,Manufacturing
200,Hypersonic Systems,DoD,336414,Guided Missiles,30000000,100000000,Small Business,Low,Hypersonics expertise extremely limited,"Lockheed Martin,Raytheon,Northrop Grumman",sefnee.a.manzanares@lmco.com,Contact hypersonics programs,Ongoing,Manufacturing
201,Space Surveillance,Space Force,541512,Computer Systems Design,25000000,80000000,Small Business,Low,Space surveillance expertise limited,"Raytheon,Northrop Grumman,L3Harris",small.business@raytheon.com,Contact Space Force SSA,Ongoing,IT/Cybersecurity
202,GPS Systems,Space Force,334511,Electronic Equipment,25000000,80000000,Small Business,Low,GPS expertise limited,"Lockheed Martin,Raytheon",sefnee.a.manzanares@lmco.com,Contact GPS program office,Ongoing,Manufacturing
203,SATCOM Terminals,DISA,334220,Communications Equipment,20000000,60000000,Small Business,Low,SATCOM expertise required,"L3Harris,Viasat,General Dynamics",small.business@l3harris.com,Contact DISA SATCOM,Ongoing,Manufacturing
204,Tactical Data Links,Navy,541512,Computer Systems Design,20000000,70000000,Small Business,Low,Link 16 expertise limited,"L3Harris,Raytheon,Northrop Grumman",small.business@l3harris.com,Contact PEO C4I,Ongoing,IT/Cybersecurity
205,Secure Communications,NSA,517110,Telecommunications,25000000,80000000,Small Business,Low,NSA certifications extremely limited,"General Dynamics,L3Harris,BAE Systems",supplierdiversity@gd.com,Contact NSA IA,Ongoing,IT/Cybersecurity
206,Cryptographic Systems,NSA,334290,Communications Equipment,20000000,65000000,Small Business,Low,Crypto certifications very limited,"General Dynamics,L3Harris",supplierdiversity@gd.com,Contact NSA crypto programs,Ongoing,Manufacturing
207,Network Security Devices,DISA,334290,Communications Equipment,15000000,50000000,Small Business,Low,STIG compliance expertise,"Cisco,Palo Alto,Juniper",supplierdiversity@cisco.com,Contact DISA STIG office,Ongoing,IT/Cybersecurity
208,Identity Credentials,GSA,541512,Computer Systems Design,15000000,45000000,Small Business,Low,FICAM expertise required,"Leidos,SAIC,Idemia",sbcomp@leidos.com,Contact GSA USAccess,Ongoing,IT/Cybersecurity
209,PKI Services,DoD,541512,Computer Systems Design,15000000,50000000,Small Business,Low,DoD PKI expertise limited,"Leidos,SAIC,DigiCert",sbcomp@leidos.com,Contact DISA PKI,Ongoing,IT/Cybersecurity
210,Biometric Systems,DHS,541512,Computer Systems Design,20000000,65000000,Small Business,Low,OBIM expertise required,"NEC,IDEMIA,Leidos",supplierdiversity@nec.com,Contact DHS OBIM,Ongoing,IT/Cybersecurity
211,Healthcare IT Modernization,VA,541512,Computer Systems Design,30000000,100000000,SDVOSB,Low,SDVOSB with healthcare IT expertise,"Cerner,Leidos,GDIT","smallbusiness@cerner.com,sbcomp@leidos.com",Contact VA OIT,Q4 Spending,Healthcare IT
212,Electronic Health Records,MHS,541512,Computer Systems Design,30000000,100000000,Small Business,Low,MHS GENESIS expertise,"Leidos,Cerner,Accenture Federal",sbcomp@leidos.com,Contact PEO DHMS,Ongoing,Healthcare IT
213,Pharmacy Systems,VA,541512,Computer Systems Design,15000000,45000000,SDVOSB,Low,VA pharmacy systems expertise,"Cerner,BD,McKesson",smallbusiness@cerner.com,Contact VA pharmacy,Ongoing,Healthcare IT
214,Laboratory Information Systems,VA,541512,Computer Systems Design,15000000,50000000,SDVOSB,Low,SDVOSB with lab systems expertise,"Cerner,Sunquest,Epic",smallbusiness@cerner.com,Contact VA pathology,Ongoing,Healthcare IT
215,Radiology Systems,MHS,541512,Computer Systems Design,15000000,45000000,Small Business,Low,PACS expertise required,"Philips,GE Healthcare,Sectra",supplier.diversity@philips.com,Contact DHA radiology,Ongoing,Healthcare IT
216,Telehealth Services,VA,541512,Computer Systems Design,20000000,60000000,SDVOSB,Low,SDVOSB with telehealth expertise,"Teladoc,Amwell,Philips",supplier.diversity@teladoc.com,Contact VA telehealth,Ongoing,Healthcare IT
217,Clinical Decision Support,MHS,541512,Computer Systems Design,15000000,45000000,Small Business,Low,CDS expertise limited,"Cerner,Epic,Nuance",smallbusiness@cerner.com,Contact DHA clinical informatics,Ongoing,Healthcare IT
218,Revenue Cycle Management,IHS,541219,Accounting Services,10000000,35000000,Small Business,Low,IHS billing expertise limited,"Optum,Change Healthcare,R1 RCM",supplierdiversity@optum.com,Contact IHS finance,Ongoing,Healthcare
219,Medical Coding Services,VA,541219,Accounting Services,10000000,35000000,SDVOSB,Low,SDVOSB with medical coding expertise,"Optum,3M HIS,Nuance",supplierdiversity@optum.com,Contact VA HIM,Ongoing,Healthcare
220,Healthcare Analytics,CMS,541511,Custom Computer Programming,20000000,70000000,Small Business,Low,CMS data analytics expertise,"Deloitte,IBM Watson,Optum",supplierdiversity@deloitte.com,Contact CMS data analytics,Ongoing,Healthcare IT
221,Medicare Systems,CMS,541512,Computer Systems Design,30000000,100000000,Small Business,Low,Medicare claims expertise,"CGI,GDIT,Maximus",supplierdiversity@cgi.com,Contact CMS MAC programs,Ongoing,Healthcare IT
222,Medicaid Systems,CMS,541512,Computer Systems Design,25000000,80000000,Small Business,Low,Medicaid systems expertise,"Deloitte,Accenture,KPMG",supplierdiversity@deloitte.com,Contact CMS CMCS,Ongoing,Healthcare IT
223,Fraud Detection Healthcare,HHS OIG,541512,Computer Systems Design,15000000,50000000,Small Business,Low,Healthcare fraud expertise,"Cotiviti,SAS,IBM",supplierdiversity@cotiviti.com,Contact HHS OIG,Ongoing,Healthcare IT
224,Public Health Surveillance,CDC,541512,Computer Systems Design,20000000,60000000,Small Business,Low,Epidemiology IT expertise,"Palantir,Deloitte,ICF",partner@palantir.com,Contact CDC IT,Ongoing,Healthcare IT
225,Disease Tracking Systems,CDC,541512,Computer Systems Design,15000000,50000000,Small Business,Low,Disease surveillance expertise,"Deloitte,Accenture Federal,ICF",supplierdiversity@deloitte.com,Contact CDC NCIRD,Ongoing,Healthcare IT
226,Bioterrorism Preparedness,HHS ASPR,541512,Computer Systems Design,15000000,50000000,Small Business,Low,Biodefense IT expertise,"Leidos,SAIC,Battelle",sbcomp@leidos.com,Contact ASPR BARDA,Ongoing,Healthcare IT
227,Mental Health Services,VA,621420,Mental Health Centers,15000000,50000000,SDVOSB,Low,SDVOSB with mental health services,"Magellan,Beacon Health,ComPsych",supplierdiversity@magellanhealth.com,Contact VA mental health,Ongoing,Healthcare
228,Substance Abuse Treatment,VA,621420,Mental Health Centers,15000000,45000000,SDVOSB,Low,SDVOSB with addiction treatment,"Acadia Healthcare,American Addiction Centers",supplierdiversity@acadiahealthcare.com,Contact VA SAMHSA,Ongoing,Healthcare
229,Prosthetics & Orthotics,VA,339113,Medical Equipment,15000000,50000000,SDVOSB,Low,SDVOSB prosthetics expertise,"Hanger,Ottobock,Ossur",supplierdiversity@hanger.com,Contact VA prosthetics,Ongoing,Healthcare
230,Rehabilitation Services,VA,621340,Physical Therapy,10000000,35000000,SDVOSB,Low,SDVOSB with rehab services,"Select Medical,Encompass Health,Kindred",supplierdiversity@selectmedical.com,Contact VA rehab,Ongoing,Healthcare
231,Home Health Services,VA,621610,Home Health Services,20000000,60000000,SDVOSB,Low,SDVOSB with home health expertise,"Amedisys,LHC Group,Kindred",supplierdiversity@amedisys.com,Contact VA home health,Ongoing,Healthcare
232,Long Term Care,VA,623110,Nursing Homes,20000000,70000000,SDVOSB,Low,SDVOSB with LTC expertise,"Genesis Healthcare,Ensign Group,Kindred",supplierdiversity@genesishcc.com,Contact VA CLC program,Ongoing,Healthcare
233,Medical Transportation,VA,621910,Ambulance Services,10000000,35000000,SDVOSB,Low,SDVOSB with medical transport,"AMR,Falck,Rural Metro",supplierdiversity@gmr.net,Contact VA VTP,Ongoing,Healthcare
234,Dental Services,IHS,621210,Dental Offices,10000000,30000000,Small Business,Low,IHS dental expertise limited,"Aspen Dental,Pacific Dental,DentaQuest",supplierdiversity@aspendental.com,Contact IHS dental,Ongoing,Healthcare
235,Vision Services,VA,621320,Optometry,5000000,20000000,SDVOSB,Low,SDVOSB with vision services,"VSP,EyeMed,National Vision",supplierdiversity@vsp.com,Contact VA blind rehab,Ongoing,Healthcare
236,Hearing Services,VA,621340,Audiology,5000000,20000000,SDVOSB,Low,SDVOSB with audiology expertise,"Amplifon,HearUSA,Miracle Ear",supplierdiversity@amplifon.com,Contact VA audiology,Ongoing,Healthcare
237,Clinical Staffing,VA,561320,Temporary Staffing,30000000,100000000,SDVOSB,Low,SDVOSB with healthcare staffing,"AMN Healthcare,Cross Country,CHG",supplier.diversity@amnhealthcare.com,Contact VA HR,Ongoing,Healthcare
238,Physician Services,IHS,621111,Physicians Offices,25000000,80000000,Small Business,Low,IHS physician expertise,"Weatherby,CompHealth,Envision",supplierdiversity@chghealthcare.com,Contact IHS clinical,Ongoing,Healthcare
239,Nursing Services,VA,621610,Home Health Services,20000000,60000000,SDVOSB,Low,SDVOSB with nursing staffing,"Aya Healthcare,Travel Nurse Across America",supplierdiversity@ayahealthcare.com,Contact VA nursing,Ongoing,Healthcare
240,Allied Health Staffing,MHS,561320,Temporary Staffing,15000000,50000000,Small Business,Low,Allied health staffing expertise,"AMN Healthcare,Soliant,Jackson Healthcare",supplier.diversity@amnhealthcare.com,Contact DHA HR,Ongoing,Healthcare
