rank,company,contract_value,contract_count,naics,agencies,sblo_name,email,phone,website,email_patterns,research_status,research_notes
1,PANTEXAS DETERRENCE  LLC,"$30,103,600,000",1,561210,"ENERGY, DEPARTMENT OF",[NEEDS RESEARCH],[NEEDS RESEARCH],[NEEDS RESEARCH],www.pantexasdeterrence.com,smallbusiness@pantexasdeterrence.com; sblo@pantexasdeterrence.com; small.business@pantexasdeterrence.com; supplier.diversity@pantexasdeterrence.com; osdbu@pantexasdeterrence.com; procurement@pantexasdeterrence.com,PENDING,
51,UNITED LAUNCH ALLIANCE  L.L.C.,"$1,628,789,353",29,481212,DEPT OF THE AIR FORCE,[NEEDS RESEARCH],[NEEDS RESEARCH],[NEEDS RESEARCH],www.unitedlaunchalliancellc.com,smallbusiness@unitedlaunchalliancellc.com; sblo@unitedlaunchalliancellc.com; small.business@unitedlaunchalliancellc.com; supplier.diversity@unitedlaunchalliancellc.com; osdbu@unitedlaunchalliancellc.com; procurement@unitedlaunchalliancellc.com,PENDING,
52,AT&T CORP.,"$1,534,431,337",25,"517110, 517112, 541519","DEFENSE INFORMATION SYSTEMS AGENCY (DISA), DEPT OF THE ARMY, DEPT OF THE NAVY, ENERGY, DEPARTMENT OF",[NEEDS RESEARCH],[NEEDS RESEARCH],[NEEDS RESEARCH],www.attcorp.com,smallbusiness@attcorp.com; sblo@attcorp.com; small.business@attcorp.com; supplier.diversity@attcorp.com; osdbu@attcorp.com; procurement@attcorp.com,PENDING,
53,SERCO INC,"$1,477,534,032",81,"334210, 334220, 334290, 334419, 334511, 334515, 336611, 517919, 524292, 541330","CENTERS FOR MEDICARE AND MEDICAID SERVICES, DEPT OF THE AIR FORCE, DEPT OF THE ARMY, DEPT OF THE NAV",[NEEDS RESEARCH],[NEEDS RESEARCH],[NEEDS RESEARCH],www.serco.com,smallbusiness@serco.com; sblo@serco.com; small.business@serco.com; supplier.diversity@serco.com; osdbu@serco.com; procurement@serco.com,PENDING,
54,UNITED CLEANUP OAK RIDGE LLC,"$1,469,539,175",1,562910,"ENERGY, DEPARTMENT OF",[NEEDS RESEARCH],[NEEDS RESEARCH],[NEEDS RESEARCH],www.unitedcleanupoakridge.com,smallbusiness@unitedcleanupoakridge.com; sblo@unitedcleanupoakridge.com; small.business@unitedcleanupoakridge.com; supplier.diversity@unitedcleanupoakridge.com; osdbu@unitedcleanupoakridge.com; procurement@unitedcleanupoakridge.com,PENDING,
55,IRON BOW TECHNOLOGIES  LLC,"$1,466,670,357",77,"334111, 334210, 511210, 541512, 541519","DEFENSE INFORMATION SYSTEMS AGENCY (DISA), DEPT OF THE AIR FORCE, DEPT OF THE ARMY, OFFICE OF THE AS",[NEEDS RESEARCH],[NEEDS RESEARCH],[NEEDS RESEARCH],www.ironbowtechnologies.com,smallbusiness@ironbowtechnologies.com; sblo@ironbowtechnologies.com; small.business@ironbowtechnologies.com; supplier.diversity@ironbowtechnologies.com; osdbu@ironbowtechnologies.com; procurement@ironbowtechnologies.com,PENDING,
56,AMENTUM SERVICES  INC.,"$1,338,389,028",49,"336411, 488190, 493110, 541330, 541519, 541715, 561210, 611512, 611519, 811111","DEFENSE INFORMATION SYSTEMS AGENCY (DISA), DEFENSE LOGISTICS AGENCY, DEPT OF THE AIR FORCE, DEPT OF ",[NEEDS RESEARCH],[NEEDS RESEARCH],[NEEDS RESEARCH],www.amentumservicesinc.com,smallbusiness@amentumservicesinc.com; sblo@amentumservicesinc.com; small.business@amentumservicesinc.com; supplier.diversity@amentumservicesinc.com; osdbu@amentumservicesinc.com; procurement@amentumservicesinc.com,PENDING,
57,INTERNATIONAL BUSINESS MACHINES CORPORATION,"$1,330,610,689",52,"334111, 518210, 541330, 541511, 541512, 541519","BUREAU OF THE FISCAL SERVICE, CENTERS FOR MEDICARE AND MEDICAID SERVICES, DEFENSE COUNTERINTELLIGENC",[NEEDS RESEARCH],[NEEDS RESEARCH],[NEEDS RESEARCH],www.internationalbusinessmachines.com,smallbusiness@internationalbusinessmachines.com; sblo@internationalbusinessmachines.com; small.business@internationalbusinessmachines.com; supplier.diversity@internationalbusinessmachines.com; osdbu@internationalbusinessmachines.com; procurement@internationalbusinessmachines.com,PENDING,
58,BLUE CROSS AND BLUE SHIELD OF SOUTH CAROLINA,"$1,283,666,222",12,"518210, 524114, 541512, 541990, 923120, 923130","CENTERS FOR MEDICARE AND MEDICAID SERVICES, RAILROAD RETIREMENT BOARD",[NEEDS RESEARCH],[NEEDS RESEARCH],[NEEDS RESEARCH],www.bluecrossandblueshieldofsouthcarolina.com,smallbusiness@bluecrossandblueshieldofsouthcarolina.com; sblo@bluecrossandblueshieldofsouthcarolina.com; small.business@bluecrossandblueshieldofsouthcarolina.com; supplier.diversity@bluecrossandblueshieldofsouthcarolina.com; osdbu@bluecrossandblueshieldofsouthcarolina.com; procurement@bluecrossandblueshieldofsouthcarolina.com,PENDING,
59,SALIENT CRGT INC,"$1,271,566,092",12,"541330, 541511, 541512, 541519, 541611","DEFENSE COMMISSARY AGENCY  (DECA), DEFENSE COUNTERINTELLIGENCE AND SECURITY AGENCY (DCSA), DEPT OF T",[NEEDS RESEARCH],[NEEDS RESEARCH],[NEEDS RESEARCH],www.salientcrgt.com,smallbusiness@salientcrgt.com; sblo@salientcrgt.com; small.business@salientcrgt.com; supplier.diversity@salientcrgt.com; osdbu@salientcrgt.com; procurement@salientcrgt.com,PENDING,
60,HENSEL PHELPS CONSTRUCTION CO.,"$1,270,454,844",48,"236220, 561210","DEPT OF THE ARMY, DEPT OF THE NAVY, NATIONAL INSTITUTE OF STANDARDS AND TECHNOLOGY, NATIONAL INSTITU",[NEEDS RESEARCH],[NEEDS RESEARCH],[NEEDS RESEARCH],www.henselphelpsconstructionco.com,smallbusiness@henselphelpsconstructionco.com; sblo@henselphelpsconstructionco.com; small.business@henselphelpsconstructionco.com; supplier.diversity@henselphelpsconstructionco.com; osdbu@henselphelpsconstructionco.com; procurement@henselphelpsconstructionco.com,PENDING,
61,NAMMO PERRY INC.,"$1,264,545,430",6,"325920, 332993","DEPT OF THE ARMY, DEPT OF THE NAVY",[NEEDS RESEARCH],[NEEDS RESEARCH],[NEEDS RESEARCH],www.nammoperryinc.com,smallbusiness@nammoperryinc.com; sblo@nammoperryinc.com; small.business@nammoperryinc.com; supplier.diversity@nammoperryinc.com; osdbu@nammoperryinc.com; procurement@nammoperryinc.com,PENDING,
62,MEDLINE INDUSTRIES  LP,"$1,186,990,806",6,"339112, 423450","INDIAN HEALTH SERVICE, VETERANS AFFAIRS, DEPARTMENT OF",[NEEDS RESEARCH],[NEEDS RESEARCH],[NEEDS RESEARCH],www.medlineindustries.com,smallbusiness@medlineindustries.com; sblo@medlineindustries.com; small.business@medlineindustries.com; supplier.diversity@medlineindustries.com; osdbu@medlineindustries.com; procurement@medlineindustries.com,PENDING,
63,ROCKWELL COLLINS  INC.,"$1,154,974,165",125,"325920, 334111, 334118, 334220, 334290, 334511, 336411, 336413, 488190, 541330","DEFENSE LOGISTICS AGENCY, DEPT OF THE AIR FORCE, DEPT OF THE ARMY, DEPT OF THE NAVY, U.S. COAST GUAR",[NEEDS RESEARCH],[NEEDS RESEARCH],[NEEDS RESEARCH],www.rockwellcollinsinc.com,smallbusiness@rockwellcollinsinc.com; sblo@rockwellcollinsinc.com; small.business@rockwellcollinsinc.com; supplier.diversity@rockwellcollinsinc.com; osdbu@rockwellcollinsinc.com; procurement@rockwellcollinsinc.com,PENDING,
64,PERATON INC.,"$1,143,793,955",60,"334290, 517810, 518210, 541330, 541511, 541512, 541519, 541712, 541720","BUREAU OF THE FISCAL SERVICE, CENTERS FOR DISEASE CONTROL AND PREVENTION, CENTERS FOR MEDICARE AND M",[NEEDS RESEARCH],[NEEDS RESEARCH],[NEEDS RESEARCH],www.peratoninc.com,smallbusiness@peratoninc.com; sblo@peratoninc.com; small.business@peratoninc.com; supplier.diversity@peratoninc.com; osdbu@peratoninc.com; procurement@peratoninc.com,PENDING,
65,APTIM FEDERAL SERVICES  LLC,"$1,131,017,123",41,"236220, 237120, 541380, 541620, 541715, 561210, 562910","BUREAU OF OCEAN ENERGY MANAGEMENT, DEPT OF THE ARMY, DEPT OF THE NAVY, ENERGY, DEPARTMENT OF, ENVIRO",[NEEDS RESEARCH],[NEEDS RESEARCH],[NEEDS RESEARCH],www.aptimfederalservices.com,smallbusiness@aptimfederalservices.com; sblo@aptimfederalservices.com; small.business@aptimfederalservices.com; supplier.diversity@aptimfederalservices.com; osdbu@aptimfederalservices.com; procurement@aptimfederalservices.com,PENDING,
66,HONEYWELL FEDERAL MANUFACTURING & TECHNOLOGIES  LLC,"$1,128,205,331",1,561210,"ENERGY, DEPARTMENT OF",[NEEDS RESEARCH],[NEEDS RESEARCH],[NEEDS RESEARCH],www.honeywellfederalmanufacturingtechnologies.com,smallbusiness@honeywellfederalmanufacturingtechnologies.com; sblo@honeywellfederalmanufacturingtechnologies.com; small.business@honeywellfederalmanufacturingtechnologies.com; supplier.diversity@honeywellfederalmanufacturingtechnologies.com; osdbu@honeywellfederalmanufacturingtechnologies.com; procurement@honeywellfederalmanufacturingtechnologies.com,PENDING,
67,VALERO ENERGY CORPORATION,"$1,127,256,162",189,324110,DEFENSE LOGISTICS AGENCY,[NEEDS RESEARCH],[NEEDS RESEARCH],[NEEDS RESEARCH],www.valeroenergy.com,smallbusiness@valeroenergy.com; sblo@valeroenergy.com; small.business@valeroenergy.com; supplier.diversity@valeroenergy.com; osdbu@valeroenergy.com; procurement@valeroenergy.com,PENDING,
68,MANTECH TSG-2 JOINT VENTURE,"$1,105,581,667",5,541715,DEPT OF THE AIR FORCE,[NEEDS RESEARCH],[NEEDS RESEARCH],[NEEDS RESEARCH],www.mantechtsg2jointventure.com,smallbusiness@mantechtsg2jointventure.com; sblo@mantechtsg2jointventure.com; small.business@mantechtsg2jointventure.com; supplier.diversity@mantechtsg2jointventure.com; osdbu@mantechtsg2jointventure.com; procurement@mantechtsg2jointventure.com,PENDING,
69,OLIN CORPORATION,"$1,092,838,904",16,332992,DEPT OF THE ARMY,[NEEDS RESEARCH],[NEEDS RESEARCH],[NEEDS RESEARCH],www.olin.com,smallbusiness@olin.com; sblo@olin.com; small.business@olin.com; supplier.diversity@olin.com; osdbu@olin.com; procurement@olin.com,PENDING,
70,TEXTRON INC.,"$1,023,393,431",52,"333318, 333997, 334412, 334515, 336411, 336413, 336992, 488190, 541330, 541370","DEFENSE LOGISTICS AGENCY, DEPT OF THE AIR FORCE, DEPT OF THE ARMY, DEPT OF THE NAVY, FEDERAL AVIATIO",[NEEDS RESEARCH],[NEEDS RESEARCH],[NEEDS RESEARCH],www.textroninc.com,smallbusiness@textroninc.com; sblo@textroninc.com; small.business@textroninc.com; supplier.diversity@textroninc.com; osdbu@textroninc.com; procurement@textroninc.com,PENDING,
71,CENTRAL PLATEAU CLEANUP COMPANY  LLC,"$1,013,077,761",5,562910,"ENERGY, DEPARTMENT OF",[NEEDS RESEARCH],[NEEDS RESEARCH],[NEEDS RESEARCH],www.centralplateaucleanupcompany.com,smallbusiness@centralplateaucleanupcompany.com; sblo@centralplateaucleanupcompany.com; small.business@centralplateaucleanupcompany.com; supplier.diversity@centralplateaucleanupcompany.com; osdbu@centralplateaucleanupcompany.com; procurement@centralplateaucleanupcompany.com,PENDING,
72,WESTAT  INC.,"$992,098,233",31,"518210, 541511, 541611, 541712, 541715, 541720, 541910, 541990","ADMINISTRATION FOR CHILDREN AND FAMILIES, AGENCY FOR HEALTHCARE RESEARCH AND QUALITY, AGRICULTURAL R",[NEEDS RESEARCH],[NEEDS RESEARCH],[NEEDS RESEARCH],www.westatinc.com,smallbusiness@westatinc.com; sblo@westatinc.com; small.business@westatinc.com; supplier.diversity@westatinc.com; osdbu@westatinc.com; procurement@westatinc.com,PENDING,
73,CGI INC,"$983,719,152",41,"518210, 541330, 541512, 541513, 541519, 561210, 561990","CENTERS FOR MEDICARE AND MEDICAID SERVICES, DEFENSE FINANCE AND ACCOUNTING SERVICE (DFAS), DEPARTMEN",[NEEDS RESEARCH],[NEEDS RESEARCH],[NEEDS RESEARCH],www.cgi.com,smallbusiness@cgi.com; sblo@cgi.com; small.business@cgi.com; supplier.diversity@cgi.com; osdbu@cgi.com; procurement@cgi.com,PENDING,
74,BLUEFORGE ALLIANCE,"$980,744,520",1,336611,DEPT OF THE NAVY,[NEEDS RESEARCH],[NEEDS RESEARCH],[NEEDS RESEARCH],www.blueforgealliance.com,smallbusiness@blueforgealliance.com; sblo@blueforgealliance.com; small.business@blueforgealliance.com; supplier.diversity@blueforgealliance.com; osdbu@blueforgealliance.com; procurement@blueforgealliance.com,PENDING,
75,TRUMBULL CORPORATION AND BRAYMAN CONSTRUCTION CORPORATION  A JOINT VENTURE,"$977,993,087",3,237990,DEPT OF THE ARMY,[NEEDS RESEARCH],[NEEDS RESEARCH],[NEEDS RESEARCH],www.trumbullcorporationandbraymanconstructioncorporationajointventure.com,smallbusiness@trumbullcorporationandbraymanconstructioncorporationajointventure.com; sblo@trumbullcorporationandbraymanconstructioncorporationajointventure.com; small.business@trumbullcorporationandbraymanconstructioncorporationajointventure.com; supplier.diversity@trumbullcorporationandbraymanconstructioncorporationajointventure.com; osdbu@trumbullcorporationandbraymanconstructioncorporationajointventure.com; procurement@trumbullcorporationandbraymanconstructioncorporationajointventure.com,PENDING,
76,JACOBS TECHNOLOGY INC.,"$975,601,066",64,"541330, 541512, 541712, 541715, 561210, 562910, 611430","DEFENSE INFORMATION SYSTEMS AGENCY (DISA), DEPT OF THE ARMY, DEPT OF THE NAVY, FEDERAL BUREAU OF INV",[NEEDS RESEARCH],[NEEDS RESEARCH],[NEEDS RESEARCH],www.jacobstechnologyinc.com,smallbusiness@jacobstechnologyinc.com; sblo@jacobstechnologyinc.com; small.business@jacobstechnologyinc.com; supplier.diversity@jacobstechnologyinc.com; osdbu@jacobstechnologyinc.com; procurement@jacobstechnologyinc.com,PENDING,
77,GENERAL DYNAMICS LAND SYSTEMS INC.,"$972,577,794",37,"332322, 336992, 336999, 541330, 541715, 811111","DEFENSE LOGISTICS AGENCY, DEPT OF THE ARMY",[NEEDS RESEARCH],[NEEDS RESEARCH],[NEEDS RESEARCH],www.generaldynamicslandsystemsinc.com,smallbusiness@generaldynamicslandsystemsinc.com; sblo@generaldynamicslandsystemsinc.com; small.business@generaldynamicslandsystemsinc.com; supplier.diversity@generaldynamicslandsystemsinc.com; osdbu@generaldynamicslandsystemsinc.com; procurement@generaldynamicslandsystemsinc.com,PENDING,
78,LAUREL TECHNOLOGIES PARTNERSHIP,"$941,992,783",29,"334118, 334220, 334511, 334519",DEPT OF THE NAVY,[NEEDS RESEARCH],[NEEDS RESEARCH],[NEEDS RESEARCH],www.laureltechnologiespartnership.com,smallbusiness@laureltechnologiespartnership.com; sblo@laureltechnologiespartnership.com; small.business@laureltechnologiespartnership.com; supplier.diversity@laureltechnologiespartnership.com; osdbu@laureltechnologiespartnership.com; procurement@laureltechnologiespartnership.com,PENDING,
79,OPTUMSERVE HEALTH SERVICES INC,"$922,213,299",8,"621111, 621498","CENTERS FOR DISEASE CONTROL AND PREVENTION, DEPT OF THE ARMY, VETERANS AFFAIRS, DEPARTMENT OF",[NEEDS RESEARCH],[NEEDS RESEARCH],[NEEDS RESEARCH],www.optumservehealthservices.com,smallbusiness@optumservehealthservices.com; sblo@optumservehealthservices.com; small.business@optumservehealthservices.com; supplier.diversity@optumservehealthservices.com; osdbu@optumservehealthservices.com; procurement@optumservehealthservices.com,PENDING,
80,AUSTAL LIMITED,"$912,985,894",19,336611,DEPT OF THE NAVY,[NEEDS RESEARCH],[NEEDS RESEARCH],[NEEDS RESEARCH],www.austallimited.com,smallbusiness@austallimited.com; sblo@austallimited.com; small.business@austallimited.com; supplier.diversity@austallimited.com; osdbu@austallimited.com; procurement@austallimited.com,PENDING,
81,BATH IRON WORKS CORPORATION,"$905,219,941",4,336611,DEPT OF THE NAVY,[NEEDS RESEARCH],[NEEDS RESEARCH],[NEEDS RESEARCH],www.bathironworks.com,smallbusiness@bathironworks.com; sblo@bathironworks.com; small.business@bathironworks.com; supplier.diversity@bathironworks.com; osdbu@bathironworks.com; procurement@bathironworks.com,PENDING,
82,CREDENCE MANAGEMENT SOLUTIONS LIMITED LIABILITY COMPANY,"$898,752,341",1,541330,AGENCY FOR INTERNATIONAL DEVELOPMENT,[NEEDS RESEARCH],[NEEDS RESEARCH],[NEEDS RESEARCH],www.credencemanagementsolutionslimitedliabilitycompany.com,smallbusiness@credencemanagementsolutionslimitedliabilitycompany.com; sblo@credencemanagementsolutionslimitedliabilitycompany.com; small.business@credencemanagementsolutionslimitedliabilitycompany.com; supplier.diversity@credencemanagementsolutionslimitedliabilitycompany.com; osdbu@credencemanagementsolutionslimitedliabilitycompany.com; procurement@credencemanagementsolutionslimitedliabilitycompany.com,PENDING,
83,BALL CORPORATION,"$878,670,235",7,"334511, 336413, 336414, 541715","DEFENSE LOGISTICS AGENCY, DEPT OF THE AIR FORCE, DEPT OF THE NAVY, NATIONAL AERONAUTICS AND SPACE AD",[NEEDS RESEARCH],[NEEDS RESEARCH],[NEEDS RESEARCH],www.ball.com,smallbusiness@ball.com; sblo@ball.com; small.business@ball.com; supplier.diversity@ball.com; osdbu@ball.com; procurement@ball.com,PENDING,
84,OSHKOSH CORPORATION,"$863,316,013",80,"326211, 332510, 332994, 333120, 333618, 336120, 336212, 336350, 336413, 336992","DEFENSE LOGISTICS AGENCY, DEPT OF THE ARMY, DEPT OF THE NAVY, FEDERAL ACQUISITION SERVICE",[NEEDS RESEARCH],[NEEDS RESEARCH],[NEEDS RESEARCH],www.oshkosh.com,smallbusiness@oshkosh.com; sblo@oshkosh.com; small.business@oshkosh.com; supplier.diversity@oshkosh.com; osdbu@oshkosh.com; procurement@oshkosh.com,PENDING,
85,MVM  INC.,"$854,318,157",5,"561612, 624230","FEDERAL ACQUISITION SERVICE, U.S. IMMIGRATION AND CUSTOMS ENFORCEMENT",[NEEDS RESEARCH],[NEEDS RESEARCH],[NEEDS RESEARCH],www.mvminc.com,smallbusiness@mvminc.com; sblo@mvminc.com; small.business@mvminc.com; supplier.diversity@mvminc.com; osdbu@mvminc.com; procurement@mvminc.com,PENDING,
86,BAE SYSTEMS TECHNOLOGY SOLUTIONS & SERVICES INC.,"$846,754,737",76,"334511, 541330, 541512, 541519, 541990","DEFENSE LOGISTICS AGENCY, DEPT OF THE AIR FORCE, DEPT OF THE NAVY, FEDERAL BUREAU OF INVESTIGATION, ",[NEEDS RESEARCH],[NEEDS RESEARCH],[NEEDS RESEARCH],www.baesystemstechnologysolutionsservicesinc.com,smallbusiness@baesystemstechnologysolutionsservicesinc.com; sblo@baesystemstechnologysolutionsservicesinc.com; small.business@baesystemstechnologysolutionsservicesinc.com; supplier.diversity@baesystemstechnologysolutionsservicesinc.com; osdbu@baesystemstechnologysolutionsservicesinc.com; procurement@baesystemstechnologysolutionsservicesinc.com,PENDING,
87,L3HARRIS GLOBAL COMMUNICATIONS  INC.,"$825,938,856",68,334290,DEPT OF THE ARMY,[NEEDS RESEARCH],[NEEDS RESEARCH],[NEEDS RESEARCH],www.l3harrisglobalcommunicationsinc.com,smallbusiness@l3harrisglobalcommunicationsinc.com; sblo@l3harrisglobalcommunicationsinc.com; small.business@l3harrisglobalcommunicationsinc.com; supplier.diversity@l3harrisglobalcommunicationsinc.com; osdbu@l3harrisglobalcommunicationsinc.com; procurement@l3harrisglobalcommunicationsinc.com,PENDING,
88,CLARK CONSTRUCTION GROUP LLC,"$824,649,091",6,236220,"DEPT OF THE ARMY, DEPT OF THE NAVY, PUBLIC BUILDINGS SERVICE, SMITHSONIAN INSTITUTION",[NEEDS RESEARCH],[NEEDS RESEARCH],[NEEDS RESEARCH],www.clarkconstructiongroup.com,smallbusiness@clarkconstructiongroup.com; sblo@clarkconstructiongroup.com; small.business@clarkconstructiongroup.com; supplier.diversity@clarkconstructiongroup.com; osdbu@clarkconstructiongroup.com; procurement@clarkconstructiongroup.com,PENDING,
89,BROOKHAVEN SCIENCE ASSOCIATES  LLC,"$805,822,525",2,541712,"ENERGY, DEPARTMENT OF",[NEEDS RESEARCH],[NEEDS RESEARCH],[NEEDS RESEARCH],www.brookhavenscienceassociates.com,smallbusiness@brookhavenscienceassociates.com; sblo@brookhavenscienceassociates.com; small.business@brookhavenscienceassociates.com; supplier.diversity@brookhavenscienceassociates.com; osdbu@brookhavenscienceassociates.com; procurement@brookhavenscienceassociates.com,PENDING,
90,BELL BOEING JOINT PROJECT OFFICE,"$798,555,919",34,"334613, 336413, 541330, 541512","DEFENSE LOGISTICS AGENCY, DEPT OF THE NAVY, FEDERAL ACQUISITION SERVICE",[NEEDS RESEARCH],[NEEDS RESEARCH],[NEEDS RESEARCH],www.bellboeingjointprojectoffice.com,smallbusiness@bellboeingjointprojectoffice.com; sblo@bellboeingjointprojectoffice.com; small.business@bellboeingjointprojectoffice.com; supplier.diversity@bellboeingjointprojectoffice.com; osdbu@bellboeingjointprojectoffice.com; procurement@bellboeingjointprojectoffice.com,PENDING,
91,GREAT LAKES DREDGE & DOCK CORPORATION,"$793,515,717",30,237990,DEPT OF THE ARMY,[NEEDS RESEARCH],[NEEDS RESEARCH],[NEEDS RESEARCH],www.greatlakesdredgedock.com,smallbusiness@greatlakesdredgedock.com; sblo@greatlakesdredgedock.com; small.business@greatlakesdredgedock.com; supplier.diversity@greatlakesdredgedock.com; osdbu@greatlakesdredgedock.com; procurement@greatlakesdredgedock.com,PENDING,
92,LEIDOS BIOMEDICAL RESEARCH INC,"$779,690,864",38,"541715, 561210",NATIONAL INSTITUTES OF HEALTH,[NEEDS RESEARCH],[NEEDS RESEARCH],[NEEDS RESEARCH],www.leidosbiomedicalresearch.com,smallbusiness@leidosbiomedicalresearch.com; sblo@leidosbiomedicalresearch.com; small.business@leidosbiomedicalresearch.com; supplier.diversity@leidosbiomedicalresearch.com; osdbu@leidosbiomedicalresearch.com; procurement@leidosbiomedicalresearch.com,PENDING,
93,FERMI RESEARCH ALLIANCE  LLC,"$768,652,939",2,541710,"ENERGY, DEPARTMENT OF",[NEEDS RESEARCH],[NEEDS RESEARCH],[NEEDS RESEARCH],www.fermiresearchalliance.com,smallbusiness@fermiresearchalliance.com; sblo@fermiresearchalliance.com; small.business@fermiresearchalliance.com; supplier.diversity@fermiresearchalliance.com; osdbu@fermiresearchalliance.com; procurement@fermiresearchalliance.com,PENDING,
94,EXPRESS SCRIPTS INC,"$754,587,660",2,524114,DEFENSE HEALTH AGENCY (DHA),[NEEDS RESEARCH],[NEEDS RESEARCH],[NEEDS RESEARCH],www.expressscripts.com,smallbusiness@expressscripts.com; sblo@expressscripts.com; small.business@expressscripts.com; supplier.diversity@expressscripts.com; osdbu@expressscripts.com; procurement@expressscripts.com,PENDING,
95,LEIDOS INC,"$753,753,275",26,"333318, 334210, 334511, 336611, 541330, 541511, 541712, 541714, 541715, 561210","DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA), DEPT OF THE AIR FORCE, DEPT OF THE ARMY, DEPT OF",[NEEDS RESEARCH],[NEEDS RESEARCH],[NEEDS RESEARCH],www.leidos.com,smallbusiness@leidos.com; sblo@leidos.com; small.business@leidos.com; supplier.diversity@leidos.com; osdbu@leidos.com; procurement@leidos.com,PENDING,
96,CAE USA INC.,"$753,523,215",37,"333318, 336411, 336413, 541330, 541512, 541715, 611512","DEPT OF THE AIR FORCE, DEPT OF THE ARMY, DEPT OF THE NAVY, U.S. CUSTOMS AND BORDER PROTECTION",[NEEDS RESEARCH],[NEEDS RESEARCH],[NEEDS RESEARCH],www.caeusainc.com,smallbusiness@caeusainc.com; sblo@caeusainc.com; small.business@caeusainc.com; supplier.diversity@caeusainc.com; osdbu@caeusainc.com; procurement@caeusainc.com,PENDING,
97,ASGN INCORPORATED,"$752,921,910",14,"513210, 541330, 541512, 541611, 541690, 541715, 541990","DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA), DEFENSE INFORMATION SYSTEMS AGENCY (DISA), DEPT ",[NEEDS RESEARCH],[NEEDS RESEARCH],[NEEDS RESEARCH],www.asgn.com,smallbusiness@asgn.com; sblo@asgn.com; small.business@asgn.com; supplier.diversity@asgn.com; osdbu@asgn.com; procurement@asgn.com,PENDING,
98,CARAHSOFT TECHNOLOGY CORP,"$740,406,642",98,"334111, 511210, 541519","CENTERS FOR DISEASE CONTROL AND PREVENTION, CENTERS FOR MEDICARE AND MEDICAID SERVICES, DEFENSE COUN",[NEEDS RESEARCH],[NEEDS RESEARCH],[NEEDS RESEARCH],www.carahsofttechnology.com,smallbusiness@carahsofttechnology.com; sblo@carahsofttechnology.com; small.business@carahsofttechnology.com; supplier.diversity@carahsofttechnology.com; osdbu@carahsofttechnology.com; procurement@carahsofttechnology.com,PENDING,
99,GEORGIA TECH RESEARCH CORPORATION,"$701,897,110",72,"334511, 541330, 541712, 541715","DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA), DEPT OF THE AIR FORCE, DEPT OF THE ARMY, DEPT OF",[NEEDS RESEARCH],[NEEDS RESEARCH],[NEEDS RESEARCH],www.georgiatechresearch.com,smallbusiness@georgiatechresearch.com; sblo@georgiatechresearch.com; small.business@georgiatechresearch.com; supplier.diversity@georgiatechresearch.com; osdbu@georgiatechresearch.com; procurement@georgiatechresearch.com,PENDING,
100,NORTHROP GRUMMAN SYSTEMS CORP,"$698,805,463",26,"332993, 332994, 334511, 336411, 336412, 336413, 336414, 541330, 541611, 811210","DEPT OF THE AIR FORCE, DEPT OF THE ARMY, DEPT OF THE NAVY",[NEEDS RESEARCH],[NEEDS RESEARCH],[NEEDS RESEARCH],www.northropgrummansystems.com,smallbusiness@northropgrummansystems.com; sblo@northropgrummansystems.com; small.business@northropgrummansystems.com; supplier.diversity@northropgrummansystems.com; osdbu@northropgrummansystems.com; procurement@northropgrummansystems.com,PENDING,
