company,contract_count,total_contract_value,agencies,naics,has_subcontract_plan
MISSION SUPPORT & TEST SERVICES LLC,1,572973869.0,"ENERGY, DEPARTMENT OF",561210,True
DDB CHICAGO INC.,18,567475415.73,DEPT OF THE ARMY,541810,True
CACI TECHNOLOGIES  LLC,11,559875844.64,"DEPT OF THE ARMY, DEPT OF THE NAVY","541330, 541715",True
MAXIMUS EDUCATION LLC,5,556290598.99,"EDUCATION, DEPARTMENT OF",522390,True
AIRBUS U.S. SPACE & DEFENSE  INC.,2,554217110.01,DEPT OF THE ARMY,488190,True
RESEARCH TRIANGLE INSTITUTE INC,41,545990268.76,"AGENCY FOR INTERNATIONAL DEVELOPMENT, CENTERS FOR DISEASE CONTROL AND PREVENTION, CENTERS FOR MEDICARE AND MEDICAID SERVICES, EDUCATION, DEPARTMENT OF, ENVIRONMENTAL PROTECTION AGENCY","541611, 541620, 541690, 541715, 541720, 541910, 541990",True
THE WHITING-TURNER CONTRACTING COMPANY,36,537791429.1899999,"DEPT OF THE NAVY, FEDERAL LAW ENFORCEMENT TRAINING CENTER, NATIONAL INSTITUTES OF HEALTH, PUBLIC BUILDINGS SERVICE, SMITHSONIAN INSTITUTION",236220,True
KPMG L.L.P.,38,535744691.4900002,"CENTERS FOR MEDICARE AND MEDICAID SERVICES, DEFENSE FINANCE AND ACCOUNTING SERVICE (DFAS), DEFENSE LOGISTICS AGENCY, DEPT OF THE AIR FORCE, DEPT OF THE NAVY","541211, 541219, 541330, 541519, 541611, 541690",True
CROWLEY GOVERNMENT SERVICES  INC.,67,531495361.54999995,"ADMINISTRATION FOR STRATEGIC PREPAREDNESS AND RESPONSE, DEFENSE LOGISTICS AGENCY, DEPT OF THE NAVY, MARITIME ADMINISTRATION, USTRANSCOM","324110, 336611, 483111, 492110, 493190",True
JACOBS ENGINEERING GROUP INC.,54,530558255.12,"BUREAU OF RECLAMATION, DEPT OF THE AIR FORCE, DEPT OF THE ARMY, ENVIRONMENTAL PROTECTION AGENCY, FEDERAL ACQUISITION SERVICE","237110, 541310, 541330, 541512, 541611, 541690, 541712, 541715, 562910, 811219",True
METROPOLITAN SECURITY SERVICES  INC.,112,520490464.1199999,"OFFICES, BOARDS AND DIVISIONS, U.S. MARSHALS SERVICE",561612,True
WESTON SOLUTIONS HOLDINGS INC,26,512062876.1700001,"DEPT OF THE ARMY, DEPT OF THE NAVY, ENVIRONMENTAL PROTECTION AGENCY","236220, 237120, 541620, 562910",True
HARPER CONSTRUCTION COMPANY  INC.,13,499055428.32,"DEPT OF THE ARMY, DEPT OF THE NAVY",236220,True
PPD DEVELOPMENT LP,6,497836789.0,"ADMINISTRATION FOR STRATEGIC PREPAREDNESS AND RESPONSE, NATIONAL INSTITUTES OF HEALTH","541712, 541714, 541715",True
L3 TECHNOLOGIES  INC.,86,488719079.06999975,"DEFENSE LOGISTICS AGENCY, DEPT OF THE AIR FORCE, DEPT OF THE ARMY, DEPT OF THE NAVY, FEDERAL ACQUISITION SERVICE","332993, 333314, 334220, 334290, 334419, 334511, 335929, 336411, 336413, 336611",True
MANTECH ADVANCED SYSTEMS INTERNATIONAL  INC.,11,481777731.89,"DEFENSE HEALTH AGENCY (DHA), DEPT OF THE NAVY, FEDERAL ACQUISITION SERVICE, U.S. CITIZENSHIP AND IMMIGRATION SERVICES","541330, 541511, 541512",True
CACI NSS  LLC,13,480523979.21000004,"DEFENSE HEALTH AGENCY (DHA), DEPT OF THE AIR FORCE, FEDERAL ACQUISITION SERVICE, FEDERAL BUREAU OF INVESTIGATION, FEDERAL EMERGENCY MANAGEMENT AGENCY","541330, 541512, 541519, 541990",True
RQ CONSTRUCTION  LLC,23,474572852.6000001,"DEPT OF THE ARMY, DEPT OF THE NAVY",236220,True
AIRBORNE TACTICAL ADVANTAGE CO LLC,16,470568884.7099999,"DEPT OF THE AIR FORCE, DEPT OF THE NAVY","488190, 611512",True
RED RIVER TECHNOLOGY LLC,12,466396562.55,"ANIMAL AND PLANT HEALTH INSPECTION SERVICE, CENTERS FOR DISEASE CONTROL AND PREVENTION, DEFENSE INFORMATION SYSTEMS AGENCY (DISA), DEPARTMENTAL OFFICES, DEPT OF THE ARMY","511210, 541512, 541519",True
PROGENY SYSTEMS  LLC,8,457363199.9,DEPT OF THE NAVY,"334412, 334511, 335931",True
NOBLIS  INC.,39,457076017.55999994,"CENTERS FOR MEDICARE AND MEDICAID SERVICES, DEPT OF THE ARMY, DEPT OF THE NAVY, FEDERAL ACQUISITION SERVICE, FEDERAL AVIATION ADMINISTRATION","541330, 541519, 541611, 541690, 541715, 541990",True
ASSOCIATION OF UNIVERSITIES FOR RESEARCH IN ASTRONOMY  INC.,4,456204256.65,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,541710,True
DEPLOYED SERVICES  LLC,3,452948679.32,"ADMINISTRATION FOR CHILDREN AND FAMILIES, OFFICE OF PROCUREMENT OPERATIONS","541614, 624230",True
VALIANT GLOBAL DEFENSE SERVICES INC.,5,452622115.39000005,"DEPT OF THE AIR FORCE, DEPT OF THE ARMY, DEPT OF THE NAVY","541330, 611512, 611699",True
KEARNEY & COMPANY  P.C.,6,451905773.21000004,"DEPARTMENTAL OFFICES, DEPT OF THE NAVY, FEDERAL ACQUISITION SERVICE","541211, 541219, 541611",True
SECURITAS AB,97,446827797.11000013,"NATIONAL INSTITUTES OF HEALTH, OFFICE OF PROCUREMENT OPERATIONS","561612, 561621",True
THE PENNSYLVANIA STATE UNIVERSITY,66,445877607.28,"CENTERS FOR DISEASE CONTROL AND PREVENTION, DEPARTMENTAL OFFICES, DEPT OF THE ARMY, DEPT OF THE NAVY, WASHINGTON HEADQUARTERS SERVICES (WHS)",541715,True
DRAGADOS/HAWAIIAN DREDGING/ORION JV,1,440571632.0,DEPT OF THE NAVY,237990,True
TORCH TECHNOLOGIES  INC.,30,438852600.56000006,DEPT OF THE ARMY,541330,True
MOTOROLA SOLUTIONS  INC.,16,435372137.21,"DEFENSE INFORMATION SYSTEMS AGENCY (DISA), DEPT OF THE AIR FORCE, DEPT OF THE NAVY, DRUG ENFORCEMENT ADMINISTRATION, NATIONAL PARK SERVICE","334220, 541330, 541513, 811210",True
ALL POINTS LOGISTICS  LLC,1,432610032.0,"VETERANS AFFAIRS, DEPARTMENT OF",541519,True
AMERICAN TYPE CULTURE COLLECTION,6,432025241.18,"CENTERS FOR DISEASE CONTROL AND PREVENTION, NATIONAL INSTITUTES OF HEALTH","541714, 541715, 541990",True
LEONARDO SPA,20,424682216.16999996,"DEFENSE INFORMATION SYSTEMS AGENCY (DISA), DEFENSE LOGISTICS AGENCY, DEPT OF THE ARMY, DEPT OF THE NAVY","332999, 333314, 334111, 334118, 334412, 334511, 334513, 335999, 336212, 336992",True
UNITEDHEALTH GROUP INCORPORATED,12,422584481.46999997,"CENTERS FOR DISEASE CONTROL AND PREVENTION, CENTERS FOR MEDICARE AND MEDICAID SERVICES, DEPT OF THE ARMY, VETERANS AFFAIRS, DEPARTMENT OF","325412, 541611, 541720, 621111, 621498",True
GUIDEHOUSE INC.,50,422337371.48,"ADMINISTRATION FOR CHILDREN AND FAMILIES, CENTERS FOR DISEASE CONTROL AND PREVENTION, CENTERS FOR MEDICARE AND MEDICAID SERVICES, CONSUMER PRODUCT SAFETY COMMISSION, DEFENSE FINANCE AND ACCOUNTING SERVICE (DFAS)","541219, 541330, 541519, 541611, 541990",True
FLUOR INTERCONTINENTAL  INC,3,420664784.96999997,"DEPT OF THE AIR FORCE, DEPT OF THE ARMY",561210,True
VIGOR MARINE LLC,17,419826643.16,"DEPT OF THE ARMY, DEPT OF THE NAVY",336611,True
GENENTECH USA  INC,2,418999426.94,ADMINISTRATION FOR STRATEGIC PREPAREDNESS AND RESPONSE,325412,True
TRAX INTERNATIONAL CORPORATION,4,418408731.47,"DEPT OF THE ARMY, NATIONAL AERONAUTICS AND SPACE ADMINISTRATION","541330, 561110, 561210",True
SCIENTIFIC RESEARCH CORP,15,412202894.39,"DEPT OF THE AIR FORCE, DEPT OF THE ARMY, DEPT OF THE NAVY","332993, 334511, 541330, 541519",True
AMAZON WEB SERVICES  INC.,19,410936922.04,"DEFENSE COUNTERINTELLIGENCE AND SECURITY AGENCY (DCSA), DEFENSE HEALTH AGENCY (DHA), DEFENSE HUMAN RESOURCES ACTIVITY, DEFENSE INFORMATION SYSTEMS AGENCY (DISA), DEPT OF THE AIR FORCE",518210,True
INSPIRITEC INC,2,409671038.78,FEDERAL ACQUISITION SERVICE,561422,True
GENERAL DYNAMICS-OTS  INC.,10,405062674.73,"DEFENSE LOGISTICS AGENCY, DEPT OF THE ARMY, DEPT OF THE NAVY","332993, 332994, 334419, 334511, 336419",True
DRS NETWORK & IMAGING SYSTEMS LLC,38,399330070.05,"DEFENSE INFORMATION SYSTEMS AGENCY (DISA), DEFENSE LOGISTICS AGENCY, DEPT OF THE ARMY","332994, 333310, 333314, 334111, 334418, 334511, 334515, 335931, 336320, 336992",True
GENERAL DYNAMICS OTS (WILKES BARRE)  LLC,10,399248524.45,DEPT OF THE ARMY,332993,True
WEEKS MARINE  INC.,18,398422078.28999996,"DEPT OF THE ARMY, DEPT OF THE NAVY",237990,True
ALLIANT TECHSYSTEMS OPERATIONS LLC,12,397418253.8,"DEPT OF THE AIR FORCE, DEPT OF THE ARMY, DEPT OF THE NAVY","325920, 332993, 336411, 336414, 541330",True
AGILE DEFENSE  LLC,68,391721455.9499999,"DEFENSE INFORMATION SYSTEMS AGENCY (DISA), DEPT OF THE AIR FORCE","541380, 541512",True
THALES DEFENSE & SECURITY INC,1,390742182.54,DEPT OF THE ARMY,334220,True
WALSH GROUP LTD.  THE,7,389149360.08,"DEPT OF THE ARMY, DEPT OF THE NAVY, FEDERAL AVIATION ADMINISTRATION","236220, 237990",True
INGENESIS INC.,27,383084557.01,"NATIONAL INSTITUTES OF HEALTH, U.S. IMMIGRATION AND CUSTOMS ENFORCEMENT","541690, 541990, 621999",True
AAR GOVERNMENT SERVICES INC,32,377378597.56000006,"DEPT OF THE AIR FORCE, DEPT OF THE NAVY, STATE, DEPARTMENT OF","336412, 336413, 488190",True
THE PARSONS CORPORATION,32,376195179.85999995,"DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA), DEFENSE THREAT REDUCTION AGENCY (DTRA), DEPT OF THE AIR FORCE, DEPT OF THE ARMY, DEPT OF THE NAVY","237130, 511210, 541310, 541330, 541511, 541512, 541715, 541990, 562910",True
TEXTRON SYSTEMS CORP,6,373660248.21,DEPT OF THE NAVY,"333613, 336611",True
SYSTEMS PLANNING AND ANALYSIS  INC.,11,366321565.31,DEPT OF THE NAVY,"541330, 541611",True
SEQIRUS INC,3,361102596.38,ADMINISTRATION FOR STRATEGIC PREPAREDNESS AND RESPONSE,325414,True
DELOITTE & TOUCHE LLP,19,356627886.13,"DEPARTMENTAL OFFICES, DEPT OF THE AIR FORCE, DEPT OF THE NAVY, OFFICE OF JUSTICE PROGRAMS, PENSION BENEFIT GUARANTY CORPORATION","541211, 541219, 541519, 541611",True
DCS CORPORATION,46,354527302.41999996,"DEPT OF THE AIR FORCE, DEPT OF THE ARMY, DEPT OF THE NAVY","541330, 541511, 541712, 541715",True
NELNET  INC.,4,353773496.33,"EDUCATION, DEPARTMENT OF",522390,True
JPATS LOGISTICS SERVICES  LLC,24,350967393.89,DEPT OF THE AIR FORCE,488190,True
TETRA TECH  INC.,70,348932710.1100001,"DEPT OF THE AIR FORCE, DEPT OF THE ARMY, DEPT OF THE NAVY, ENERGY, DEPARTMENT OF, ENVIRONMENTAL PROTECTION AGENCY","541330, 541511, 541611, 541620, 541715, 541990, 562910",True
VETERANS EVALUATION SERVICES  INC,6,346089242.85,"VETERANS AFFAIRS, DEPARTMENT OF",621111,True
LINQUEST CORPORATION,14,338510378.03000003,"DEPT OF THE AIR FORCE, DEPT OF THE NAVY, FEDERAL ACQUISITION SERVICE","541330, 541715, 541990",True
TRANSOCEANIC CABLE SHIP COMPANY LLC,5,336372465.13,DEPT OF THE NAVY,483111,True
CROWLEY LOGISTICS  INC.,12,331027563.72,USTRANSCOM,488510,True
CARNEGIE MELLON UNIVERSITY,17,329203642.94,"DEPT OF THE AIR FORCE, DEPT OF THE ARMY","541712, 541715",True
UNITED TECHNOLOGIES CORPORATION,26,328978591.21999997,"DEFENSE LOGISTICS AGENCY, DEPT OF THE AIR FORCE, DEPT OF THE NAVY","314999, 332722, 336412, 336413, 488190",True
VECTRUS  INC.,10,328737990.15000004,"DEPT OF THE AIR FORCE, DEPT OF THE ARMY, DEPT OF THE NAVY","334290, 517810, 541330, 541611, 561210",True
ENSIGN-BICKFORD INDUSTRIES  INC.,8,327775729.75,"DEPT OF THE AIR FORCE, DEPT OF THE ARMY, DEPT OF THE NAVY","325920, 336419",True
GOODRICH CORPORATION,53,325883897.2699999,"DEFENSE LOGISTICS AGENCY, DEPT OF THE AIR FORCE, DEPT OF THE NAVY, U.S. COAST GUARD","332991, 334511, 336413, 488190, 541330",True
MYTHICS  INC.,26,325720372.66999996,"BUREAU OF SAFETY AND ENVIRONMENTAL ENFORCEMENT, CENTERS FOR MEDICARE AND MEDICAID SERVICES, DEFENSE HEALTH AGENCY (DHA), DEPT OF THE AIR FORCE, DEPT OF THE ARMY","334111, 541519",True
CONSTELLIS HOLDINGS  LLC,55,324067528.24,OFFICE OF PROCUREMENT OPERATIONS,"541611, 561612, 561621",True
AMERICAN ORDNANCE LLC,8,322859151.43,DEPT OF THE ARMY,332993,True
AMERICAN SYSTEMS CORPORATION,15,320276017.0199999,"DEPT OF THE AIR FORCE, DEPT OF THE ARMY, DEPT OF THE NAVY, FEDERAL ACQUISITION SERVICE","332510, 541330, 541511, 541519",True
CATERPILLAR INC.,85,319250203.9,"DEFENSE LOGISTICS AGENCY, DEPT OF THE ARMY, FEDERAL ACQUISITION SERVICE, INTERNATIONAL BOUNDARY AND WATER COMMISSION: U.S.-MEXICO, U.S. COAST GUARD","333120, 333618",True
SONOVA HOLDING AG,26,316160105.16,"VETERANS AFFAIRS, DEPARTMENT OF","334510, 811210, 811219",True
COTTON COMMERCIAL USA  INC.,3,315035619.15999997,FEDERAL EMERGENCY MANAGEMENT AGENCY,"493190, 561210",True
LIVANTA LLC,1,314311641.0,CENTERS FOR MEDICARE AND MEDICAID SERVICES,541618,True
SIERRA NEVADA CORPORATION,24,311585151.79999995,"DEPT OF THE AIR FORCE, DEPT OF THE ARMY, DEPT OF THE NAVY, FEDERAL ACQUISITION SERVICE, U.S. SPECIAL OPERATIONS COMMAND (USSOCOM)","334220, 334511, 488190, 511210, 541512, 541715, 541990, 561990",True
KRATOS DEFENSE & SECURITY SOLUTIONS  INC.,25,308137640.09,"DEPT OF THE AIR FORCE, DEPT OF THE ARMY, DEPT OF THE NAVY","332311, 332993, 334419, 334511, 336411, 336413, 541330, 541715",True
CFM INTERNATIONAL  INC.,45,307454397.45,"DEFENSE LOGISTICS AGENCY, DEPT OF THE AIR FORCE",336412,True
KEYSTONE PEER REVIEW ORGANIZATION  INC.,2,298576424.0,CENTERS FOR MEDICARE AND MEDICAID SERVICES,541618,True
THE CHARLES STARK DRAPER LABORATORY  INC.,6,293998476.0,"ADMINISTRATION FOR STRATEGIC PREPAREDNESS AND RESPONSE, DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA), DEPT OF THE ARMY, DEPT OF THE NAVY","541330, 541714, 541715",True
AMERICAN INSTITUTES FOR RESEARCH IN THE BEHAVIORAL SCIENCES,18,293366628.29,"ADMINISTRATION FOR CHILDREN AND FAMILIES, CENTERS FOR MEDICARE AND MEDICAID SERVICES, EDUCATION, DEPARTMENT OF, FEDERAL ACQUISITION SERVICE, HEALTH RESOURCES AND SERVICES ADMINISTRATION","541211, 541611, 541690, 541720, 541990",True
TACTICAL AIR SUPPORT INC,3,292797284.58,"DEPT OF THE AIR FORCE, DEPT OF THE NAVY","336413, 611512",True
MARATHON PETROLEUM COMPANY LP,160,292119080.99000007,DEFENSE LOGISTICS AGENCY,324110,True
BCCG A JOINT VENTURE,1,287037592.0,U.S. CUSTOMS AND BORDER PROTECTION,236220,True
MANSON CONSTRUCTION CO.,11,282505220.6,"DEPT OF THE ARMY, DEPT OF THE NAVY",237990,True
CONTI FEDERAL SERVICES  LLC,8,278824970.12,"DEPT OF THE ARMY, DEPT OF THE NAVY",236220,True
UNITED PARCEL SERVICE CO.,55,276118140.85,"INTERNAL REVENUE SERVICE, NATIONAL INSTITUTE OF STANDARDS AND TECHNOLOGY, SOCIAL SECURITY ADMINISTRATION, USTRANSCOM, VETERANS AFFAIRS, DEPARTMENT OF",492110,True
VERIZON COMMUNICATIONS INC.,54,275577362.92,"BUREAU OF LAND MANAGEMENT, DEFENSE COMMISSARY AGENCY  (DECA), DEFENSE HEALTH AGENCY (DHA), DEFENSE INFORMATION SYSTEMS AGENCY (DISA), DEFENSE LOGISTICS AGENCY","517110, 517111, 517112, 517312, 517911",True
KBR SERVICES  LLC,17,275118623.15999997,"DEFENSE LOGISTICS AGENCY, DEPT OF THE ARMY, DEPT OF THE NAVY","541330, 541519, 561210, 811310",True
MATHEMATICA INC.,38,275071437.58,"ADMINISTRATION FOR CHILDREN AND FAMILIES, AGENCY FOR HEALTHCARE RESEARCH AND QUALITY, CENTERS FOR DISEASE CONTROL AND PREVENTION, CENTERS FOR MEDICARE AND MEDICAID SERVICES, DEPARTMENTAL OFFICES","541211, 541511, 541611, 541715, 541720, 541990",True
BP PRODUCTS NORTH AMERICA INC.,32,274872441.68,DEFENSE LOGISTICS AGENCY,324110,True
LMI CONSULTING  LLC,16,272775797.16999996,"CENTERS FOR MEDICARE AND MEDICAID SERVICES, DEFENSE LOGISTICS AGENCY, DEPT OF THE AIR FORCE, DEPT OF THE ARMY, FOOD AND NUTRITION SERVICE","541330, 541611",True
NORIDIAN HEALTHCARE SOLUTIONS  LLC,8,271442165.82,"CENTERS FOR DISEASE CONTROL AND PREVENTION, CENTERS FOR MEDICARE AND MEDICAID SERVICES","524114, 541512, 541990",True
SIKORSKY AIRCRAFT CORPORATION,37,271408504.16,"DEFENSE LOGISTICS AGENCY, DEPT OF THE ARMY, U.S. COAST GUARD, U.S. SPECIAL OPERATIONS COMMAND (USSOCOM)","336411, 336413",True
DATA LINK SOLUTIONS L.L.C.,16,267214473.24,DEPT OF THE NAVY,"334220, 334290",True
CDM CONSTRUCTORS INC,2,265478149.53,"BUREAU OF RECLAMATION, DEPT OF THE NAVY","237110, 561210",True
PAE APPLIED TECHNOLOGIES LLC,14,264725139.1,"DEPT OF THE AIR FORCE, DEPT OF THE NAVY","541512, 561210",True
BLUE ORIGIN  LLC,2,264147644.0,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,"481212, 541715",True
SIEMENS AKTIENGESELLSCHAFT,102,262852371.48000005,"DEFENSE LOGISTICS AGENCY, DEPT OF THE AIR FORCE, DEPT OF THE ARMY, US PATENT AND TRADEMARK OFFICE, VETERANS AFFAIRS, DEPARTMENT OF","334516, 334517, 339112, 541330, 541512, 561210",True
BLACK CONSTRUCTION-TUTOR PERINI JV,10,259386681.32000002,DEPT OF THE NAVY,"236116, 236220",True
ELBIT SYSTEMS OF AMERICA - NIGHT VISION LLC,6,257206076.45999998,"DEPT OF THE ARMY, DEPT OF THE NAVY","333310, 334419",True
IDENTITY THEFT GUARD SOLUTIONS  INC.,2,249320900.0,"OFFICE OF PERSONNEL MANAGEMENT, OFFICE OF PROCUREMENT OPERATIONS",561450,True
APPLIED RESEARCH ASSOCIATES  INC.,20,246858950.39,"BUREAU OF SAFETY AND ENVIRONMENTAL ENFORCEMENT, DEFENSE THREAT REDUCTION AGENCY (DTRA), DEPT OF THE AIR FORCE, DEPT OF THE ARMY, DEPT OF THE NAVY","332993, 541330, 541714, 541715, 561210, 611430",True
"EASTERN RESEARCH GROUP, INC.",37,245864664.76,"BUREAU OF LAND MANAGEMENT, BUREAU OF OCEAN ENERGY MANAGEMENT, DEPT OF THE NAVY, ENVIRONMENTAL PROTECTION AGENCY","541330, 541380, 541611, 541620",True
BL HARBERT INTERNATIONAL LLC,4,243060647.05,"DEPT OF THE ARMY, FEDERAL BUREAU OF INVESTIGATION",236220,True
PROFESSIONAL CONTRACT SERVICES INC,7,242358635.00000003,"DEPT OF THE ARMY, DEPT OF THE NAVY",561210,True
KORTE CONSTRUCTION COMPANY,4,241404161.47,"DEPT OF THE ARMY, DEPT OF THE NAVY",236220,True
BOOZ ALLEN HAMILTON HOLDING CORPORATION,17,237863901.31999996,"DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA), DEPT OF THE AIR FORCE, DEPT OF THE ARMY, DEPT OF THE NAVY, ENERGY, DEPARTMENT OF","541330, 541511, 541512, 541611, 541712, 541715, 541990, 561990",True
PRIDE INDUSTRIES,24,236533154.14999992,"BUREAU OF ENGRAVING AND PRINTING, DEPT OF THE AIR FORCE, DEPT OF THE ARMY","561210, 561720, 561730",True
THE ARORA GROUP  INC.,1,233812542.16,U.S. IMMIGRATION AND CUSTOMS ENFORCEMENT,621999,True
WORLD WIDE TECHNOLOGY LLC,45,230610828.88000003,"ANIMAL AND PLANT HEALTH INSPECTION SERVICE, DEFENSE HEALTH AGENCY (DHA), DEFENSE INFORMATION SYSTEMS AGENCY (DISA), DEPT OF THE AIR FORCE, DEPT OF THE ARMY","334111, 511210, 541519",True
PHILLIPS 66,70,229767635.25999993,DEFENSE LOGISTICS AGENCY,324110,True
COLORADO SPRINGS UTILITIES,3,229406570.62,DEPT OF THE ARMY,221122,True
OLIN WINCHESTER  LLC,6,228584065.41,"DEPT OF THE ARMY, DEPT OF THE NAVY",332992,True
BCG FEDERAL CORPORATION,4,228100861.77,"DEFENSE HEALTH AGENCY (DHA), DEPT OF THE AIR FORCE, DEPT OF THE NAVY","541611, 541618",True
GRUNLEY CONSTRUCTION CO.  INC.,19,227957015.62000003,"DEPT OF THE ARMY, DEPT OF THE NAVY, NATIONAL ARCHIVES AND RECORDS ADMINISTRATION, NATIONAL GALLERY OF ART, SMITHSONIAN INSTITUTION",236220,True
CORE TECH-HDCC-KAJIMA LLC,10,224764997.48000002,DEPT OF THE NAVY,"236116, 236220",True
THE LEWIN GROUP  INC.,7,224374748.15,"CENTERS FOR MEDICARE AND MEDICAID SERVICES, DEPARTMENTAL OFFICES, FOOD AND DRUG ADMINISTRATION","518210, 541611, 541720",True
PECKHAM VOCATIONAL INDUSTRIES  INC.,7,221839065.56,"DEPT OF THE ARMY, STATE, DEPARTMENT OF","561421, 812332",True
FLUOR FEDERAL SERVICES INC,6,221249633.81,FEDERAL EMERGENCY MANAGEMENT AGENCY,541611,True
GENERAL DYNAMICS OTS (NICEVILLE)  INC.,2,219444847.89000002,DEPT OF THE ARMY,332993,True
THE GEO GROUP  INC.,14,218769672.46,"U.S. IMMIGRATION AND CUSTOMS ENFORCEMENT, U.S. MARSHALS SERVICE","561210, 561612, 922140",True
MISSOURI HIGHER EDUCATION LOAN AUTHORITY,6,216277774.21,"EDUCATION, DEPARTMENT OF","522320, 522390",True
TCOM  L.P.,8,211145129.77000004,DEPT OF THE ARMY,541330,True
THE LANE CONSTRUCTION CORPORATION,2,210897901.03,"DEPT OF THE ARMY, DEPT OF THE NAVY","237310, 237990",True
GULFSTREAM AEROSPACE CORPORATION,18,210508919.56999996,"DEPT OF THE AIR FORCE, NATIONAL OCEANIC AND ATMOSPHERIC ADMINISTRATION, U.S. COAST GUARD","336411, 336413, 488190",True
GENERAL DYNAMICS ORDNANCE AND TACTICAL SYSTEMS  INC.,10,210292143.26000002,DEPT OF THE ARMY,332993,True
TYSON FOODS INC.,27,209871850.23,AGRICULTURAL MARKETING SERVICE,311615,True
LEIDOS HOLDINGS INC.,9,209348505.52999997,"ATF ACQUISITION AND PROPERTY MGMT DIV, CENTERS FOR MEDICARE AND MEDICAID SERVICES, DEFENSE INFORMATION SYSTEMS AGENCY (DISA), DEPT OF THE AIR FORCE, FEDERAL ACQUISITION SERVICE",541512,True
DELTA RESOURCES  INC.,2,208855169.0,DEPT OF THE NAVY,541330,True
NATIONAL OPINION RESEARCH CENTER,19,208157158.84999996,"ADMINISTRATION FOR CHILDREN AND FAMILIES, AGENCY FOR HEALTHCARE RESEARCH AND QUALITY, AGENCY FOR INTERNATIONAL DEVELOPMENT, CENTERS FOR DISEASE CONTROL AND PREVENTION, CENTERS FOR MEDICARE AND MEDICAID SERVICES","541611, 541720, 541910, 541990",True
ORACLE AMERICA  INC,3,208153079.03,DEFENSE INFORMATION SYSTEMS AGENCY (DISA),518210,True
RENK AMERICA LLC,6,207266478.53,DEPT OF THE ARMY,"333618, 336350",True
PORTER NOVELLI PUBLIC SERVICES INC.,2,206743206.74,CENTERS FOR MEDICARE AND MEDICAID SERVICES,541810,True
EDFINANCIAL SERVICES LLC,5,206494256.69,"EDUCATION, DEPARTMENT OF","522320, 522390",True
WALSH FEDERAL LLC,15,203559141.6,"DEPT OF THE ARMY, DEPT OF THE NAVY, FEDERAL AVIATION ADMINISTRATION, U.S. COAST GUARD","236210, 236220",True
UNITED CONCORDIA COMPANIES  INC.,3,203357911.8,DEFENSE HEALTH AGENCY (DHA),524114,True
ABSHER CONSTRUCTION CO.,2,202875170.0,"DEPT OF THE ARMY, DEPT OF THE NAVY",236220,True
JOHNSON CONTROLS BUILDING AUTOMATION SYSTEMS  LLC,22,201382565.7,"DEPT OF THE AIR FORCE, DEPT OF THE ARMY","541512, 561621",True
OPTUMRX ADMINISTRATIVE SERVICES  LLC,6,199263227.13,"VETERANS AFFAIRS, DEPARTMENT OF",524292,True
ICF INTERNATIONAL  INC.,46,198295453.18,"CENTERS FOR DISEASE CONTROL AND PREVENTION, CENTERS FOR MEDICARE AND MEDICAID SERVICES, DEPARTMENTAL OFFICES, DEPT OF THE ARMY, ENVIRONMENTAL PROTECTION AGENCY","541380, 541511, 541512, 541611, 541620, 541715, 541720, 541990",True
DATA SYSTEMS ANALYSTS INC,3,198113641.07999998,"DEFENSE INFORMATION SYSTEMS AGENCY (DISA), DEPT OF THE ARMY","541512, 541519",True
MANSON CONSTRUCTION HOLDING COMPANY,15,197332171.04,"DEPT OF THE ARMY, DEPT OF THE NAVY, NATIONAL OCEANIC AND ATMOSPHERIC ADMINISTRATION",237990,True
POND CONSTRUCTORS INC.,7,197310402.95999998,"DEPT OF THE ARMY, DEPT OF THE NAVY","237120, 561210",True
INTERNATIONAL AUTO LOGISTICS  LLC,16,196460608.59,USTRANSCOM,488999,True
CHARLES RIVER LABORATORIES  INC.,5,194041952.0,NATIONAL INSTITUTES OF HEALTH,"112990, 541715, 541940, 561210",True
FIDELITY TECHNOLOGIES CORPORATION,14,193482918.9,DEPT OF THE NAVY,541330,True
MARINE HYDRAULICS INTERNATIONAL  LLC,12,193446374.14,DEPT OF THE NAVY,336611,True
BCG FEDERAL CORP.,7,192289593.0,"DEFENSE HEALTH AGENCY (DHA), DEPT OF THE AIR FORCE, DEPT OF THE NAVY, ENERGY, DEPARTMENT OF, OFFICE OF PERSONNEL MANAGEMENT","541611, 541618",True
EVERGY MISSOURI WEST  INC.,3,191505734.0,"BUREAU OF THE FISCAL SERVICE, DEPT OF THE ARMY, NATIONAL ARCHIVES AND RECORDS ADMINISTRATION",221122,True
PARKER-HANNIFIN CORPORATION,24,190870684.93,"DEFENSE LOGISTICS AGENCY, DEPT OF THE AIR FORCE, DEPT OF THE ARMY, DEPT OF THE NAVY","332919, 334511, 336412, 336413",True
MAXIM HEALTHCARE STAFFING SERVICES  INC.,1,190416031.79,U.S. IMMIGRATION AND CUSTOMS ENFORCEMENT,621999,True
AMERGIS HEALTHCARE STAFFING  INC.,1,190416031.79,U.S. IMMIGRATION AND CUSTOMS ENFORCEMENT,621999,True
