company,contract_count,total_contract_value,agencies,naics,has_subcontract_plan
BOLLINGER MISSISSIPPI SHIPBUILDING  LLC,1,69607000.0,DEPT OF THE NAVY,336611,True
INUTEQ  LLC,6,69141791.25999999,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,541513,True
TUTOR PERINI CORPORATION,10,68778820.6,"NATIONAL PARK SERVICE, U.S. COAST GUARD, U.S. CUSTOMS AND BORDER PROTECTION",236220,True
SAAB AB,6,68767508.07,"DEPT OF THE ARMY, DEPT OF THE NAVY","332993, 332994, 334511, 336612, 541715",True
BAE SYSTEMS SPACE & MISSION SYSTEMS INC.,4,68483297.0,"DEPT OF THE AIR FORCE, MISSILE DEFENSE AGENCY (MDA), NATIONAL AERONAUTICS AND SPACE ADMINISTRATION","541330, 541715, 811213",True
READYONE INDUSTRIES INC,4,68434097.69999999,"DEFENSE LOGISTICS AGENCY, DEPT OF THE ARMY",315210,True
TRANSPORTATION RESEARCH CENTER INC,13,68374481.32000001,NATIONAL HIGHWAY TRAFFIC SAFETY ADMINISTRATION,541380,True
STRONGHOLD ENGINEERING INC,1,68227128.0,DEPT OF THE NAVY,236220,True
KOKOSING CONSTRUCTION COMPANY  INC.,2,67169239.42,FEDERAL HIGHWAY ADMINISTRATION,237310,True
HIG CAPITAL MANAGEMENT  INC.,2,67027514.14,"CENTERS FOR MEDICARE AND MEDICAID SERVICES, DEFENSE INFORMATION SYSTEMS AGENCY (DISA)",541611,True
MSA SAFETY INCORPORATED,8,66887670.67,"DEPT OF THE AIR FORCE, DEPT OF THE NAVY, OFFICES, BOARDS AND DIVISIONS, U.S. COAST GUARD","334412, 334511, 339112, 339113",True
GEORGIA VOCATIONAL REHABILITATION AGENCY,3,66768206.02,DEPT OF THE ARMY,722310,True
NAPHCARE INC,7,66387073.89,FEDERAL PRISON SYSTEM / BUREAU OF PRISONS,622110,True
HDR  INC.,21,66360231.23,"DEPT OF THE AIR FORCE, DEPT OF THE ARMY, DEPT OF THE NAVY, NATIONAL INSTITUTES OF HEALTH, STATE, DEPARTMENT OF","541330, 541620, 541690, 562910",True
3M COMPANY,19,66348699.72,"DEFENSE LOGISTICS AGENCY, DEPT OF THE AIR FORCE, VETERANS AFFAIRS, DEPARTMENT OF","313230, 339112, 541715",True
HDR ENGINEERING  INC.,21,65858803.86000001,"BUREAU OF INDIAN AFFAIRS, BUREAU OF RECLAMATION, DEPT OF THE AIR FORCE, DEPT OF THE ARMY, DEPT OF THE NAVY","541310, 541320, 541330",True
PINE BLUFF SAND AND GRAVEL COMPANY,9,65522010.019999996,DEPT OF THE ARMY,237990,True
CAREFUSION SOLUTIONS  LLC,2,65289254.56,DEFENSE HEALTH AGENCY (DHA),"339112, 811210",True
NV5 GEOSPATIAL  INC.,22,64984433.760000005,"DEPT OF THE ARMY, NATIONAL OCEANIC AND ATMOSPHERIC ADMINISTRATION, US GEOLOGICAL SURVEY","541330, 541360, 541370",True
MARINETTE MARINE CORPORATION,3,64621710.0,"DEPT OF THE NAVY, U.S. SPECIAL OPERATIONS COMMAND (USSOCOM)",336611,True
TECOLOTE RESEARCH  INC.,2,64586220.67,"DEPT OF THE NAVY, WASHINGTON HEADQUARTERS SERVICES (WHS)","541330, 541519",True
GBA BUILDERS LLC,2,64473735.0,DEPT OF THE ARMY,236220,True
PATRICIO ENTERPRISES  INC,1,64434438.21,DEPT OF THE NAVY,541330,True
PROFESSIONAL ANALYSIS  INCORPORATED,2,64282107.04,DEPT OF THE NAVY,541614,True
SUNTIVA  LLC,1,63943799.73,DEPT OF THE ARMY,541519,True
DELL FEDERAL SYSTEMS L.P.,21,63737233.74000001,"ADMINISTRATION FOR STRATEGIC PREPAREDNESS AND RESPONSE, DEFENSE HEALTH AGENCY (DHA), DEPT OF THE AIR FORCE, DEPT OF THE ARMY, PENSION BENEFIT GUARANTY CORPORATION","334111, 336413, 511210, 518210, 541519",True
IMAGINE ONE TECHNOLOGY & MANAGEMENT  LTD.,3,63338156.0,DEPT OF THE NAVY,"541330, 541519",True
ROGERS  LOVELOCK & FRITZ  INC.,9,62814269.45,"DEPT OF THE ARMY, DEPT OF THE NAVY",541330,True
SOUTH CAROLINA COMMISSION FOR BLIND,4,62451566.410000004,DEPT OF THE ARMY,722310,True
G4S SECURE SOLUTIONS (USA) INC.,10,62088095.21,U.S. IMMIGRATION AND CUSTOMS ENFORCEMENT,561612,True
TURNER CONSTRUCTION COMPANY,4,61862623.0,"DEPT OF THE AIR FORCE, PUBLIC BUILDINGS SERVICE",236220,True
SOUTHWEST RESEARCH INSTITUTE INC,5,61825177.0,"DEPT OF THE ARMY, NATIONAL AERONAUTICS AND SPACE ADMINISTRATION","336414, 541330, 541712, 541715",True
IDAHO ENVIRONMENTAL COALITION LLC,2,61470154.0,"ENERGY, DEPARTMENT OF",562910,True
LOC PERFORMANCE PRODUCTS  LLC,2,61360878.82,"DEFENSE LOGISTICS AGENCY, DEPT OF THE ARMY","333612, 336992",True
OCEANEERING INTERNATIONAL INC,12,61337135.239999995,DEPT OF THE NAVY,"333914, 336611, 541330",True
NATIONAL GOVERNMENT SERVICES  INC.,4,61253674.67,CENTERS FOR MEDICARE AND MEDICAID SERVICES,"524114, 541519",True
MCKINSEY & COMPANY  INC.,8,61081094.970000006,"CENTERS FOR MEDICARE AND MEDICAID SERVICES, DEPT OF THE AIR FORCE, HOUSING AND URBAN DEVELOPMENT, DEPARTMENT OF, INTERNAL REVENUE SERVICE","541611, 541990",True
LS TECHNOLOGIES  LLC,9,60880094.699999996,FEDERAL AVIATION ADMINISTRATION,541330,True
HEWLETT-PACKARD COMPANY,3,60805449.370000005,DEPT OF THE ARMY,"334111, 541519",True
REI SYSTEMS  INC.,16,60792371.330000006,"HEALTH RESOURCES AND SERVICES ADMINISTRATION, NATIONAL AERONAUTICS AND SPACE ADMINISTRATION, US PATENT AND TRADEMARK OFFICE, VETERANS AFFAIRS, DEPARTMENT OF","541511, 541512, 541513, 541519",True
CGS ADMINISTRATORS  LLC,1,60706384.19,CENTERS FOR MEDICARE AND MEDICAID SERVICES,524114,True
CRITERION SYSTEMS  L.L.C.,2,60315830.48,"ENERGY, DEPARTMENT OF, NATIONAL SCIENCE FOUNDATION",541519,True
ARCHER WESTERN FEDERAL JV,11,60097711.11,"DEPT OF THE ARMY, DEPT OF THE NAVY",236220,True
FEDERAL CONTRACTING INC,4,60058318.89,DEPT OF THE ARMY,236220,True
HRL LABORATORIES  LLC,4,60047457.0,"DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA), DEPT OF THE AIR FORCE",541715,True
OAK RIDGE ASSOCIATED UNIVERSITIES  INCORPORATED,3,60009868.82,"CENTERS FOR DISEASE CONTROL AND PREVENTION, ENERGY, DEPARTMENT OF","541611, 541990",True
VICINITY ENERGY INC.,2,59880241.480000004,"VETERANS AFFAIRS, DEPARTMENT OF",221122,True
UNIVERSITY OF MASSACHUSETTS,32,59878921.760000005,"DEPARTMENTAL OFFICES, FEDERAL PRISON SYSTEM / BUREAU OF PRISONS, NATIONAL INSTITUTES OF HEALTH","541512, 541611, 541714, 622110",True
PTSI MANAGED SERVICES INC,6,59812125.230000004,DEPT OF THE ARMY,"541512, 541990",True
JANUS RESEARCH GROUP  LLC,7,59712598.15,"DEPT OF THE ARMY, FEDERAL ACQUISITION SERVICE","541330, 541690, 541715, 541990, 611430",True
BECHTEL NATIONAL  INC.,1,59320577.0,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,236210,True
TELEDYNE FLIR SURVEILLANCE  INC.,11,59318845.99,"DEPT OF THE ARMY, DEPT OF THE NAVY, U.S. SPECIAL OPERATIONS COMMAND (USSOCOM)","314910, 333314, 334511",True
SOLUTE,1,59314020.0,DEPT OF THE NAVY,541330,True
TRANSYLVANIA VOCATIONAL SERVICES  INC.,6,58914874.050000004,AGRICULTURAL MARKETING SERVICE,"311211, 311514",True
FAIRBANKS MORSE  LLC,21,58788404.989999995,"DEPT OF THE NAVY, U.S. COAST GUARD","333618, 336611",True
ONE GAS  INC.,2,58676386.4,"DEFENSE LOGISTICS AGENCY, DEPT OF THE ARMY",221210,True
WEBCOR CONSTRUCTION LP,5,58633471.5,DEPT OF THE NAVY,236220,True
REGENTS OF THE UNIVERSITY OF MICHIGAN,7,58569823.0,"CENTERS FOR MEDICARE AND MEDICAID SERVICES, DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA), DEFENSE THREAT REDUCTION AGENCY (DTRA), NATIONAL AERONAUTICS AND SPACE ADMINISTRATION, NATIONAL HIGHWAY TRAFFIC SAFETY ADMINISTRATION","336419, 541714, 541715, 541720",True
ENERSYS ENERGY PRODUCTS INC.,21,58518304.030000016,"DEFENSE LOGISTICS AGENCY, DEPT OF THE NAVY","335910, 335911",True
THE PROVIDENCIA GROUP LLC,1,58517120.08,DEPARTMENTAL OFFICES,541611,True
INTEGRATION INNOVATION  INC.,6,58169468.69,DEPT OF THE NAVY,541330,True
DELPHINUS ENGINEERING  INC.,3,57991669.96000001,DEPT OF THE NAVY,541330,True
US OCEAN LLC,9,57983550.099999994,USTRANSCOM,483111,True
TYTO GOVERNMENT SOLUTIONS INC,6,57787229.19,"DEFENSE HEALTH AGENCY (DHA), DEPT OF THE AIR FORCE, DEPT OF THE ARMY, FEDERAL ACQUISITION SERVICE","517110, 541330, 541512, 541519",True
INFORMATION SYSTEMS AND NETWORKS CORPORATION,4,57705261.480000004,"DEPT OF THE NAVY, HOUSING AND URBAN DEVELOPMENT, DEPARTMENT OF, RURAL HOUSING SERVICE","522390, 531311, 531390, 541611",True
KBR  INC.,4,57632799.63,"DEPT OF THE NAVY, NATIONAL AERONAUTICS AND SPACE ADMINISTRATION","517919, 541330",True
UNITED PARCEL SERVICE  INC.,10,57528294.56,"INTERNAL REVENUE SERVICE, VETERANS AFFAIRS, DEPARTMENT OF",492110,True
BAE SYSTEMS ORDNANCE SYSTEMS INC.,7,57272267.14,DEPT OF THE ARMY,"541715, 561210",True
SWINERTON BUILDERS,1,57260000.0,DEPT OF THE ARMY,236220,True
ALVOGEN GROUP  INC.,1,57099989.22,ADMINISTRATION FOR STRATEGIC PREPAREDNESS AND RESPONSE,325412,True
MICHAEL BAKER INTERNATIONAL  INC.,14,57088178.73,"DEPT OF THE ARMY, DEPT OF THE NAVY, PUBLIC BUILDINGS SERVICE, STATE, DEPARTMENT OF","541310, 541320, 541330",True
KNIGHT CONST. & SUPPLY  INC,1,56839500.0,DEPT OF THE ARMY,237990,True
GN STORE NORD A/S,17,56832672.17,"VETERANS AFFAIRS, DEPARTMENT OF","334510, 811210",True
CHARLES STARK DRAPER LABORATORY  INC.  THE,5,56725388.879999995,"DEPT OF THE AIR FORCE, DEPT OF THE ARMY, DEPT OF THE NAVY","334511, 336999, 541380, 541715",True
LOUIS BERGER HAWTHORNE SERVICES  INC.,2,56676466.12,DEPT OF THE ARMY,561210,True
U.S. MARINE MANAGEMENT  LLC,7,55936030.94,DEPT OF THE NAVY,483111,True
OPTUMHEALTH CARE SOLUTIONS  LLC,2,55851461.25,DEFENSE HEALTH AGENCY (DHA),541990,True
BLINDERMANPOWER LLC,1,55759100.0,DEPT OF THE ARMY,236220,True
MOFFATT & NICHOL - BURNS & MCDONNELL HAWAII,13,55380559.0,DEPT OF THE NAVY,541330,True
L.S. BLACK CONSTRUCTORS  LLC,2,55308068.0,DEPT OF THE ARMY,236220,True
INTELLIDYNE  L.L.C.,2,54828355.0,DEFENSE HEALTH AGENCY (DHA),541519,True
ENVIRONMENTAL SYSTEMS RESEARCH INSTITUTE  INC.,14,54660364.95000001,"DEPT OF THE AIR FORCE, DEPT OF THE ARMY, DEPT OF THE NAVY, ENVIRONMENTAL PROTECTION AGENCY, FEDERAL EMERGENCY MANAGEMENT AGENCY",511210,True
MATHEMATICA  INC.,6,54575494.99,"CENTERS FOR MEDICARE AND MEDICAID SERVICES, EDUCATION, DEPARTMENT OF, NATIONAL SCIENCE FOUNDATION","541611, 541720",True
DRS ADVANCED ISR LLC,8,54512597.95,"DEPT OF THE ARMY, DEPT OF THE NAVY","334220, 334511, 541330",True
WATTERSON CONSTRUCTION COMPANY,2,54423799.0,DEPT OF THE ARMY,236220,True
TWO SIX LABS HOLDINGS  INC.,4,54397017.07,"DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA), DEPT OF THE AIR FORCE, DEPT OF THE NAVY","541511, 541715",True
PROFESSIONAL CONTRACT SERVICES  INC.,5,54391045.76,"DEPT OF THE ARMY, DEPT OF THE NAVY",561210,True
CDM SMITH INC.,21,54374524.8,"DEPT OF THE ARMY, DEPT OF THE NAVY, ENVIRONMENTAL PROTECTION AGENCY, FEDERAL EMERGENCY MANAGEMENT AGENCY","541330, 541618, 541690, 541715, 562910",True
INTELSAT GENERAL COMMUNICATIONS LLC,3,54307677.28,DEPT OF THE AIR FORCE,"518210, 541715",True
OLD NORTH UTILITY SERVICES  INC.,1,54017200.0,DEFENSE LOGISTICS AGENCY,221310,True
CENTRAL VALLEY MEAT CO.  INC.,7,53997619.2,AGRICULTURAL MARKETING SERVICE,311611,True
SYSTEM HIGH CORPORATION,9,53933679.72,"DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA), DEPT OF THE NAVY, MISSILE DEFENSE AGENCY (MDA), WASHINGTON HEADQUARTERS SERVICES (WHS)","334512, 541690, 541712, 541990",True
METRO MACHINE CORP.,10,53793455.97,DEPT OF THE NAVY,336611,True
COGNOSANTE HOLDINGS  LLC,3,53782779.5,CENTERS FOR MEDICARE AND MEDICAID SERVICES,541511,True
AEROJET ROCKETDYNE  INC.,3,53701736.41,"DEPT OF THE AIR FORCE, NATIONAL AERONAUTICS AND SPACE ADMINISTRATION","541712, 541715",True
VIRGINIA AEM CORPORATION,2,53451920.97,"EDUCATION, DEPARTMENT OF",541611,True
NAMMO AS,2,53445498.86000001,"DEPT OF THE ARMY, DEPT OF THE NAVY","325920, 332993",True
PRECISION FOR MEDICINE  INC.,3,53343608.0,NATIONAL INSTITUTES OF HEALTH,541715,True
LABORATORY CORPORATION OF AMERICA,29,53073701.410000004,"CENTERS FOR DISEASE CONTROL AND PREVENTION, DEPT OF THE ARMY, VETERANS AFFAIRS, DEPARTMENT OF",621511,True
CDW GOVERNMENT LLC,14,52698095.67,"DEPT OF THE ARMY, DEPT OF THE NAVY, FEDERAL ACQUISITION SERVICE, OFFICE OF THE ASSISTANT SECRETARY FOR ADMINISTRATION (ASA)","334111, 511210",True
OLYMPUS AMERICA INC,27,52447188.440000005,"DEPT OF THE AIR FORCE, VETERANS AFFAIRS, DEPARTMENT OF","333310, 339112, 339113",True
GENERAL DYNAMICS ONE SOURCE LLC,10,52026562.46999999,"DEPT OF THE AIR FORCE, DEPT OF THE ARMY, DEPT OF THE NAVY, EDUCATION, DEPARTMENT OF","334111, 334220, 541519, 541715",True
COLSA CORPORATION,9,51938286.87,"DEPT OF THE AIR FORCE, DEPT OF THE NAVY, NATIONAL AERONAUTICS AND SPACE ADMINISTRATION","541330, 541611, 541712",True
COOPER MACHINERY SERVICES LLC,1,51389625.0,DEPT OF THE AIR FORCE,811310,True
CHEROKEE NATION,1,51242480.92,OFFICE OF THE ASSISTANT SECRETARY FOR ADMINISTRATION AND MANAGEMENT,611519,True
OST INC,7,51054134.53000001,DEPT OF THE ARMY,541330,True
TELEPERFORMANCE SE,4,50986155.29000001,"CONSUMER FINANCIAL PROTECTION BUREAU, INTERNAL REVENUE SERVICE, U.S. CITIZENSHIP AND IMMIGRATION SERVICES","541519, 541930",True
W. M. JORDAN COMPANY  INCORPORATED,4,50859075.339999996,DEPT OF THE NAVY,236220,True
STRATEGIC RESOURCES  INCORPORATED,5,50827195.67,DEPT OF THE ARMY,541612,True
NOVITAS SOLUTIONS  INC.,4,50329781.580000006,CENTERS FOR MEDICARE AND MEDICAID SERVICES,"524114, 524292, 541990",True
OWL COMPANIES,7,50269265.24,OFFICE OF THE ASSISTANT SECRETARY FOR ADMINISTRATION AND MANAGEMENT,611519,True
NTT DATA FEDERAL SERVICES  INC.,1,50053780.31,AGENCY FOR INTERNATIONAL DEVELOPMENT,541511,True
GLOBAL CONNECTIONS TO EMPLOYMENT  INC.,10,49876255.50000001,"DEFENSE COUNTERINTELLIGENCE AND SECURITY AGENCY (DCSA), DEPT OF THE AIR FORCE, DEPT OF THE ARMY","541990, 561720",True
TECHNICA LLC,5,49825067.160000004,DEPT OF THE ARMY,561210,True
ADVANCED TECHNOLOGY INTERNATIONAL,10,49806244.0,DEPT OF THE NAVY,541715,True
WORKFORCE COMMISSION  TEXAS,5,49798650.06,"DEPT OF THE AIR FORCE, DEPT OF THE ARMY",722310,True
WERRES CORPORATION,1,49591411.97,DEFENSE LOGISTICS AGENCY,333922,True
AGILITI HEALTH INC,15,49306276.720000006,"ADMINISTRATION FOR STRATEGIC PREPAREDNESS AND RESPONSE, DEFENSE HEALTH AGENCY (DHA), DEPT OF THE AIR FORCE, DEPT OF THE ARMY, VETERANS AFFAIRS, DEPARTMENT OF","339113, 811210",True
WSP USA ENVIRONMENT & INFRASTRUCTURE INC.,14,49294880.82,"BUREAU OF INDIAN AFFAIRS, DEPT OF THE AIR FORCE, DEPT OF THE ARMY, ENVIRONMENTAL PROTECTION AGENCY, FEDERAL EMERGENCY MANAGEMENT AGENCY","541330, 541620, 541690, 561210, 562910",True
ECC CONSTRUCTORS LLC,2,49284406.03,DEPT OF THE ARMY,"562119, 562211",True
HUMAN RESOURCES RESEARCH ORGANIZATION (HUMRRO),12,49131060.61000001,"DEPT OF THE ARMY, FEDERAL ACQUISITION SERVICE","541715, 611710",True
REPUBLIC SERVICES  INC.,2,49055373.0,"DEPT OF THE ARMY, NATIONAL INSTITUTES OF HEALTH","562112, 562211",True
GLOBAL ENGINEERING SERVICES N.V.,8,49047719.269999996,"DEFENSE LOGISTICS AGENCY, DEPT OF THE ARMY, DEPT OF THE NAVY","333120, 333924",True
TRX SYSTEMS  INC.,3,48948286.86,DEPT OF THE ARMY,334511,True
IAP GLOBAL SERVICES  LLC,1,48865392.65,DEPT OF THE ARMY,541712,True
APPLIED RESEARCH SOLUTIONS  INC.,1,48750000.0,DEPT OF THE AIR FORCE,541715,True
ATEC  INC.,13,48330468.33,DEPT OF THE AIR FORCE,811310,True
ADVANCED BIOSCIENCE LABORATORIES  INC.,10,48290445.0,NATIONAL INSTITUTES OF HEALTH,"541512, 541712, 541715",True
INTERNATIONAL BUSINESS MACHINES CORP,1,48193724.0,DEPT OF THE AIR FORCE,541715,True
TAYLOR DEFENSE PRODUCTS  LLC,5,48159717.809999995,DEPT OF THE ARMY,"333120, 333924",True
MEB GENERAL CONTRACTORS INC,2,47912874.0,"DEPT OF THE ARMY, DEPT OF THE NAVY","237120, 237990",True
RESOLUTION CONSULTANTS - AN AECOM-ENSAFE JOINT VENTURE,21,47773875.879999995,DEPT OF THE NAVY,541330,True
HUMANA GOVERNMENT BUSINESS INC,1,47723496.06,DEFENSE HEALTH AGENCY (DHA),524114,True
SMITHS DETECTION INC.,5,47656468.32,"DEPT OF THE ARMY, DRUG ENFORCEMENT ADMINISTRATION, U.S. CUSTOMS AND BORDER PROTECTION","334511, 334517, 334519, 811210",True
"AEP ENERGY, INC.",3,47161732.52,"NATIONAL INSTITUTES OF HEALTH, VETERANS AFFAIRS, DEPARTMENT OF",221112,True
WORLDWIDE LANGUAGE RESOURCES  LLC,1,46916314.79,U.S. SPECIAL OPERATIONS COMMAND (USSOCOM),541930,True
SES GOVERNMENT SOLUTIONS  INC.,1,46891636.0,DEPT OF THE AIR FORCE,517410,True
CANON MEDICAL SYSTEMS USA  INC.,29,46760536.85,"DEFENSE LOGISTICS AGENCY, VETERANS AFFAIRS, DEPARTMENT OF",423450,True
FORD MOTOR COMPANY,27,46751362.0,FEDERAL ACQUISITION SERVICE,336111,True
LAKESIDE FOODS  INC.,18,46660873.77,AGRICULTURAL MARKETING SERVICE,"311421, 311611",True
PILGRIM'S PRIDE CORPORATION,13,46505221.2,AGRICULTURAL MARKETING SERVICE,311615,True
SALIENT FEDERAL-SGIS INC,1,46496752.5,DEFENSE COUNTERINTELLIGENCE AND SECURITY AGENCY (DCSA),541519,True
GARTNER  INC.,19,46311382.9,"BUREAU OF ENGRAVING AND PRINTING, CENTERS FOR DISEASE CONTROL AND PREVENTION, DEPARTMENTAL OFFICES, DEPT OF THE NAVY, FEDERAL AVIATION ADMINISTRATION",541519,True
CHOCTAWHATCHEE ELECTRIC COOPERATIVE  INC.,1,45966839.0,DEFENSE LOGISTICS AGENCY,221122,True
TECHTRANS INTERNATIONAL  INC.,1,45951748.0,DEPT OF THE ARMY,561920,True
ROSS GROUP CONSTRUCTION CORPORATION  LLC,3,45715066.0,"DEPT OF THE ARMY, PUBLIC BUILDINGS SERVICE",236220,True
AXLE INFORMATICS  LLC,14,45656306.44,NATIONAL INSTITUTES OF HEALTH,541990,True
PERATON LABS INC,7,45594465.24,"DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA), DEPT OF THE AIR FORCE, DEPT OF THE NAVY",541715,True
INTERNATIONAL MARINE AND INDUSTRIAL APPLICATORS  LLC,10,45538824.00999999,DEPT OF THE NAVY,336611,True
SUMMIT CONSULTING LLC,3,45367200.06,"AGRICULTURAL RESEARCH SERVICE, HOUSING AND URBAN DEVELOPMENT, DEPARTMENT OF, UNITED STATES INTERNATIONAL DEVELOPMENT FINANCE CORPORATION",541611,True
GEORGIA TECH APPLIED RESEARCH CORP,16,45302374.879999995,"DEPT OF THE AIR FORCE, DEPT OF THE ARMY, MISSILE DEFENSE AGENCY (MDA)","541330, 541715",True
DZYNE TECHNOLOGIES INCORPORATED,3,44935515.0,DEPT OF THE AIR FORCE,541715,True
DRS SYSTEMS  INC,6,44851489.129999995,"DEPT OF THE NAVY, U.S. SPECIAL OPERATIONS COMMAND (USSOCOM)","334290, 334511, 336413",True
FREQUENTIS USA  INC,1,44757413.59,FEDERAL AVIATION ADMINISTRATION,334210,True
SIRIUS INTERNATIONAL INSURANCE GROUP LTD,2,44724295.57,BUREAU OF THE FISCAL SERVICE,"524210, 524292",True
CARGILL  INCORPORATED,9,44650794.42,AGRICULTURAL MARKETING SERVICE,"311611, 311615, 311999",True
AMERICAN STATES WATER COMPANY,2,44599051.0,"DEFENSE LOGISTICS AGENCY, DEPT OF THE ARMY","221310, 221320",True
CUBRC  INC.,5,44490925.35,"DEPT OF THE AIR FORCE, DEPT OF THE ARMY, DEPT OF THE NAVY","541715, 611310",True
COMPU-LINK CORP,2,44383206.0,"HOUSING AND URBAN DEVELOPMENT, DEPARTMENT OF",522390,True
ALPHABET INC.,2,44367191.13,CENTERS FOR DISEASE CONTROL AND PREVENTION,541380,True
THOMSON COMPANY INC  THE,11,44277291.08,"BUREAU OF THE FISCAL SERVICE, FEDERAL COMMUNICATIONS COMMISSION, INTERNAL REVENUE SERVICE, NATIONAL LABOR RELATIONS BOARD, OFFICE OF THE INSPECTOR GENERAL","511120, 519130",True
VANGUARD INSPECTION SERVICES,12,44215850.410000004,FEDERAL EMERGENCY MANAGEMENT AGENCY,541350,True
UTAH STATE UNIVERSITY,8,44107055.39,"DEPT OF THE AIR FORCE, MISSILE DEFENSE AGENCY (MDA), NATIONAL AERONAUTICS AND SPACE ADMINISTRATION, NATIONAL INSTITUTES OF HEALTH","541511, 541711, 541713, 541714, 541715",True
HEALTH SERVICES HOLDINGS  INC.,1,44079370.0,CENTERS FOR MEDICARE AND MEDICAID SERVICES,541690,True
SENECA FOODS CORP,30,43955859.21,AGRICULTURAL MARKETING SERVICE,311421,True
L3HARRIS INTERSTATE ELECTRONICS CORPORATION,3,43920677.42,"DEPT OF THE AIR FORCE, DEPT OF THE NAVY","334511, 541330",True
ACC CONSTRUCTION CO.  INC.,4,43840344.44,DEPT OF THE ARMY,236220,True
BT GROUP PLC,1,43834564.66,DEFENSE INFORMATION SYSTEMS AGENCY (DISA),517110,True
INSTITUTE FOR DEFENSE ANALYSES INC,2,43824378.7,WASHINGTON HEADQUARTERS SERVICES (WHS),541990,True
PHOENIX INTERNATIONAL HOLDINGS  INC.,16,43636739.0,DEPT OF THE NAVY,"336611, 541330",True
MANUFACTURING TECHNIQUES  INC.,5,43498001.03,"DEPT OF THE ARMY, DEPT OF THE NAVY","334418, 541715",True
PFSWEB  INC.,8,43453581.44,UNITED STATES MINT,518210,True
CHIMES DISTRICT OF COLUMBIA INC,6,43437026.39999999,"DEPARTMENTAL OFFICES, DEPT OF THE ARMY, FEDERAL PRISON SYSTEM / BUREAU OF PRISONS, PUBLIC BUILDINGS SERVICE","561210, 561720",True
AKIMA SUPPORT OPERATIONS  LLC,3,43369832.28,DEPT OF THE ARMY,561210,True
WOODWARD  INC.,9,43195706.39,"DEFENSE LOGISTICS AGENCY, DEPT OF THE AIR FORCE, DEPT OF THE ARMY, DEPT OF THE NAVY","336412, 336413, 811219",True
CH2M HILL - CDM PA-TAC RECOVERY SERVICES,4,43003153.760000005,FEDERAL EMERGENCY MANAGEMENT AGENCY,541611,True
THALES USA  INC.,1,42979256.0,DEPT OF THE NAVY,334511,True
GILBANE FEDERAL JV,1,42913417.73,DEPT OF THE ARMY,236220,True
CACI  LLC - COMMERCIAL,11,42898029.4,"OFFICES, BOARDS AND DIVISIONS",541199,True
GE AVIATION SYSTEMS LLC,5,42861552.93,DEPT OF THE NAVY,336413,True
ENTRUST CORPORATION,1,42559865.51,FEDERAL ACQUISITION SERVICE,541519,True
VISTA OUTDOOR INC.,7,42474681.52,"DEPT OF THE ARMY, TRANSPORTATION SECURITY ADMINISTRATION, U.S. CUSTOMS AND BORDER PROTECTION, U.S. IMMIGRATION AND CUSTOMS ENFORCEMENT, U.S. SPECIAL OPERATIONS COMMAND (USSOCOM)","332992, 332994",True
R. J. ZAVORAL & SONS  INC.,1,42450278.25,DEPT OF THE ARMY,237990,True
PCL CONSTRUCTION INC,1,42435502.0,INTERNATIONAL BOUNDARY AND WATER COMMISSION: U.S.-MEXICO,237110,True
SPIRIT AEROSYSTEMS HOLDINGS  INC.,4,42346305.0,"DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA), DEPT OF THE AIR FORCE, NATIONAL AERONAUTICS AND SPACE ADMINISTRATION",541715,True
LEPRINO FOODS COMPANY,10,42180728.92999999,AGRICULTURAL MARKETING SERVICE,311513,True
VIASAT INC,2,42124208.3,"DEPT OF THE AIR FORCE, U.S. SPECIAL OPERATIONS COMMAND (USSOCOM)","334220, 334290",True
TEXTRON AVIATION DEFENSE LLC,6,42117572.65,DEPT OF THE AIR FORCE,"336411, 336413",True
ASM RESEARCH  LLC,7,41828006.96,"DEFENSE HUMAN RESOURCES ACTIVITY, DEPARTMENTAL OFFICES, DEPT OF THE ARMY","541512, 541519",True
WSP USA INC.,15,41796811.73,"DEPT OF THE NAVY, FEDERAL HIGHWAY ADMINISTRATION","541330, 611430",True
PHILIPS NORTH AMERICA LLC,6,41580460.53,"DEFENSE LOGISTICS AGENCY, VETERANS AFFAIRS, DEPARTMENT OF",334510,True
ELBIT SYSTEMS LTD,17,41489619.10000001,"DEFENSE LOGISTICS AGENCY, DEPT OF THE AIR FORCE, DEPT OF THE ARMY, DEPT OF THE NAVY","332994, 334511, 335999, 336413, 811210",True
MISSOURI DEPARTMENT OF SOCIAL SERVICES,2,41350208.89,DEPT OF THE ARMY,722310,True
CLEAR VANTAGE POINT SOLUTIONS LLC,2,41181548.37,"VETERANS AFFAIRS, DEPARTMENT OF",541512,True
SARGENT AEROSPACE & DEFENSE  LLC,11,41108199.2,DEPT OF THE NAVY,"332919, 333914, 333998, 334290",True
GENERAL MOTORS COMPANY,1,40978708.0,U.S. SECRET SERVICE,336211,True
